business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KSG SQUARE,Commerce and CA Coaching,Coaching Center,"Coaching Center, Accounting school, Business school, Chartered accountant, Education center, Educational consultant, Online Share Trading Center, Private educational institution, Private Tutor, Training center",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 89100 31095,http://www.ksgsquare.in/,4.9,185.0,"4th floor, White Pearl Building, AD-412, Rabindrapally, Kestopur, Kolkata, West Bengal 700101","Rabindrapally, Kestopur",22.6012852,88.42733009999999,ChIJwbAoyI91AjoRw8Iqaec2Tbw,https://www.google.com/maps/place/?q=place_id:ChIJwbAoyI91AjoRw8Iqaec2Tbw,part_332,2026-09-20 20:18:00,4807
Jain Coaching Centre Pioneers of Commerce – CA | CS | CMA | 11 | 12,Commerce and CA Coaching,Coaching Center,Coaching Center,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97488 17473,http://www.jaincoaching.com/,4.2,142.0,"Shop No. 156C, Rash Behari Avenue, Lake View Road Crossing, lake Terrace, Ballygunge, Kolkata, West Bengal 700029","lake Terrace, Ballygunge",22.5175253,88.3554642,ChIJa4Db4Sx3AjoRSL8wDtlLyZs,https://www.google.com/maps/place/?q=place_id:ChIJa4Db4Sx3AjoRSL8wDtlLyZs,part_332,2026-09-20 20:18:00,4808
Edukunj Academy CA CMA Coaching | Best CA Foundation Coaching In Kolkata | Best CA Inter Coaching | Top CMA Coaching,Commerce and CA Coaching,Coaching Center,"Coaching Center, Charter school, Chartered accountant, Cost accounting service, Education center, Educational consultant, Educational institution, Private educational institution",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 96810 58398,https://edukunj-academy-ca.grexa.site/,4.9,219.0,"Ram Mandir, 162, Muktaram Babu St, Opportunity, Jorasanko, Kolkata, West Bengal 700007","Opportunity, Jorasanko",22.5820716,88.3642582,ChIJo0dadX13AjoRvo1xCZaip9o,https://www.google.com/maps/place/?q=place_id:ChIJo0dadX13AjoRvo1xCZaip9o,part_332,2026-09-20 20:18:00,4809
"Niraj Academy for Excellence (NAE) | Best CA Foundation Coaching Classes & CA Inter Classes in Kolkata, Pune, Delhi & India",Commerce and CA Coaching,Coaching Center,"Coaching Center, Accounting school, Chartered accountant, Educational consultant, Mathematics school, Studying center, Tutoring service",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91477 30100,https://nirajacademyforexcellence.com/,4.9,683.0,"1st Floor, 72, Girish Park N, above Amit Agarwal Blind School, opposite Tejendra Uddyan, Kolkata, West Bengal 700006",741246,22.5867768,88.36078429999999,ChIJ1-eWheB3AjoRI1PyqJci5ng,https://www.google.com/maps/place/?q=place_id:ChIJ1-eWheB3AjoRI1PyqJci5ng,part_332,2026-09-20 20:18:00,4810
"Amit Bachhawat Training Forum | Best CA, CS & CMA Coaching Classes in Kolkata & India | Best for Law Classes",Commerce and CA Coaching,Coaching Center,"Coaching Center, Accounting firm, Accounting school, Chamber of Commerce, Chartered accountant, Education center, Educational consultant, Educational institution, ICSE School, Private Tutor",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 90511 76186,http://www.amitbachhawat.com/,4.5,270.0,"3rd & 4th Floor, 125, Muktaram Babu St, near Shri RamChandra Mandir, Simla, Machuabazar, Kolkata, West Bengal 700007","Simla, Machuabazar",22.582487399999998,88.3627087,ChIJ9apsrbR3AjoRzCnrB8zDdNc,https://www.google.com/maps/place/?q=place_id:ChIJ9apsrbR3AjoRzCnrB8zDdNc,part_332,2026-09-20 20:18:00,4811
Vivek Soni Educational Institute Pvt. Ltd. – CA CS CMA Taxation Coaching,Commerce and CA Coaching,Educational institution,Educational institution,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 93397 06053,http://www.vseipl.com/,4.8,540.0,"1st floor, 1, AJC Bose Rd, beside RBL Bank, Elgin, Kolkata, West Bengal 700020",Elgin,22.5419827,88.3486097,ChIJcc61ohh3AjoRvxL13Cry8g8,https://www.google.com/maps/place/?q=place_id:ChIJcc61ohh3AjoRvxL13Cry8g8,part_332,2026-09-20 20:18:00,4812
Divya Agarwal Mam,Commerce and CA Coaching,Law College,"Law College, Educational institution",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98307 41471,https://www.meplclasses.com/,4.6,1025.0,"59, Jatindra Mohan Ave, Raja Nabakrishna Street, Sovabazar, Shobhabazar, Kolkata, West Bengal 700005","Raja Nabakrishna Street, Sovabazar, Shobhabazar",22.5975279,88.3653976,ChIJcyvV_D1xAjoRQMqpaBKz3GU,https://www.google.com/maps/place/?q=place_id:ChIJcyvV_D1xAjoRQMqpaBKz3GU,part_332,2026-09-20 20:18:00,4813
SJC Institute,Commerce and CA Coaching,Coaching Center,"Coaching Center, Certified public accountant, Chartered accountant, Education center",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 81001 12222,http://www.sjcinstitute.com/,4.8,983.0,"Metro - Hemant Mukhopadhyay, 767, Rajdanga Main Road, GA 78 2nd Floor Opposite GST Bhawan, Near Ruby Hospital Nearest, Kolkata, West Bengal 700107","Sector G, East Kolkata Township",22.5135324,88.3985335,ChIJWbhSxrR3AjoRQleNFSbRgu8,https://www.google.com/maps/place/?q=place_id:ChIJWbhSxrR3AjoRQleNFSbRgu8,part_332,2026-09-20 20:18:00,4814
ABHIMANYYU AGARRWAL CLASSES - Best CA Foundation Coaching | CMA Foundation | Best CMA Inter Coaching | CA Inter,Commerce and CA Coaching,Coaching Center,"Coaching Center, Accounting school, Charter school, Chartered accountant, Education center, Educational consultant, Educational institution, Learning center, Private Tutor, Tutoring service",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98743 11319,https://abhimanyyuagarrwal.com/,4.9,383.0,"play School, 180 A, Chittaranjan Ave, near Ram Mandir, opposite Miranda house, Raja Katra, College Street Market, College Street, Kolkata, West Bengal 700007","Raja Katra, College Street Market, College Street",22.5821087,88.36173319999999,ChIJh1M8orV3AjoR8n2zWMVRQbk,https://www.google.com/maps/place/?q=place_id:ChIJh1M8orV3AjoR8n2zWMVRQbk,part_332,2026-09-20 20:18:00,4815
Navin Classes,Commerce and CA Coaching,Coaching Center,"Coaching Center, Career guidance service, Certified public accountant, Chartered accountant, Educational institution, Financial institution, Student career counseling office, Test preparation center",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98755 23445,https://www.navinclasses.com/,4.9,1182.0,"4th Floor, Metro Tower, 170, Chittaranjan Ave, Raja Katra, College Street Market, College Street, Kolkata, West Bengal 700007","Raja Katra, College Street Market, College Street",22.581584199999998,88.3616969,ChIJa2Yz2i92AjoRPHytdXHJaAU,https://www.google.com/maps/place/?q=place_id:ChIJa2Yz2i92AjoRPHytdXHJaAU,part_332,2026-09-20 20:18:00,4816
Rankers Commerce,Commerce and CA Coaching,Coaching Center,"Coaching Center, Education center, Educational institution",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 93860 35411,https://www.rankerscommerce.in/,4.6,,"1st, opposite Satyam Heart Center, Doctors Colony, Kankarbagh, Patna, Bihar 800020","Doctors Colony, Kankarbagh",25.5990935,85.1575773,ChIJ07MSPY5Y7TkR8CIioYPoxm8,https://www.google.com/maps/place/?q=place_id:ChIJ07MSPY5Y7TkR8CIioYPoxm8,part_332,2026-09-20 20:18:01,4817
Commerce Tutorials,Commerce and CA Coaching,Tutoring service,Tutoring service,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 83369 65112,N/A,5.0,,"1/1A/2, Ramkrishna Naskar Ln, Kulia, Beleghata, Kolkata, West Bengal 700010","Kulia, Beleghata",22.5598472,88.4061493,ChIJHXQPrUl1AjoRVltvpDOYA4E,https://www.google.com/maps/place/?q=place_id:ChIJHXQPrUl1AjoRVltvpDOYA4E,part_332,2026-09-20 20:18:01,4818
Guruvidya Academy Pvt. Ltd,Commerce and CA Coaching,Coaching Center,"Coaching Center, Educational institution",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98216 27725,https://www.guruvidya.co.in/,4.7,298.0,"Metro Pillar Number 433, WZ-49, West, near Tagore Garden, Titarpur, Tagore Garden, Metro, New Delhi, Delhi, 110027","Titarpur, Tagore Garden, Metro",28.6449362,77.1143201,ChIJAQAAQHsDDTkRJ_9Qz763EzE,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQHsDDTkRJ_9Qz763EzE,part_332,2026-09-20 20:18:02,4819
