business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
WILD IRON - Ultimate Fitness Hub,Yoga Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 89187 23822,https://sites.google.com/view/wildiron01,5.0,51.0,"Champahati Railway Station Road, Champahati, West Bengal 743330",Champahati,22.401289199999997,88.49178739999999,ChIJNyveTrYTAjoRpCgQMo96j5o,https://www.google.com/maps/place/?q=place_id:ChIJNyveTrYTAjoRpCgQMo96j5o,part_335,2026-09-20 20:17:41
PRO-FITNESS STUDIO,Yoga Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://www.instagram.com/profitnessstudio25?igsh=OTNuZ2t4aGFzdmti&utm_source=qr,5.0,30.0,"Tematha, Champahati - Ghatakpukur Rd, Chakbaria, Kolkata, West Bengal 743330",Chakbaria,22.4220732,88.5047941,ChIJ0cnAeR4TAjoRH2BxgIECAlo,https://www.google.com/maps/place/?q=place_id:ChIJ0cnAeR4TAjoRH2BxgIECAlo,part_335,2026-09-20 20:17:41
ATHLEFIT STUDIO,Yoga Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70033 92067,N/A,5.0,42.0,"Sonarpur Chakbaria Rd, Chakbaria, Kalikapur, Rajpur Sonarpur, West Bengal 743330",Chakbaria,22.424824599999997,88.4975867,ChIJrf7AuRMNAjoRkxjrAKx_3Sg,https://www.google.com/maps/place/?q=place_id:ChIJrf7AuRMNAjoRkxjrAKx_3Sg,part_335,2026-09-20 20:17:41
MATANGINI YOGA CENTRE,Yoga Center,Yoga instructor,Yoga instructor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98328 14313,https://matanginiyogacentre.com/,5.0,25.0,"X6H4+888, Sitarampur, West Bengal 743374",743330,21.9782619,88.2057726,ChIJi7k5aABXAjoR7DEjiPGvWdU,https://www.google.com/maps/place/?q=place_id:ChIJi7k5aABXAjoR7DEjiPGvWdU,part_335,2026-09-20 20:17:41
Paincure,Yoga Center,Physiotherapy Center,Physiotherapy Center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62898 29706,N/A,5.0,35.0,"Nayber more, Madarat, Baruipur, Baruipur P, West Bengal 743610",Madarat,22.3614674,88.4542584,ChIJiV1fXkdtAjoRe-mHyTmwhPA,https://www.google.com/maps/place/?q=place_id:ChIJiV1fXkdtAjoRe-mHyTmwhPA,part_335,2026-09-20 20:17:41
Fervid Fitness,Yoga Center,Fitness center,Fitness center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,4.9,37.0,"near Pragati Sangha Club, Station Pally, Masterpara, Subuddhipur, Baruipur, West Bengal 700144","Station Pally, Masterpara, Subuddhipur",22.3677855,88.4324316,ChIJw4c8NTdtAjoRgML2P-moPQU,https://www.google.com/maps/place/?q=place_id:ChIJw4c8NTdtAjoRgML2P-moPQU,part_335,2026-09-20 20:17:41
Prakash Fitness House | Personal Trainer | In Baruipur,Yoga Center,Personal trainer,"Personal trainer, Fitness center, Gym, Vitamin & supplements store",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 72783 00631,https://trainer-prakash-dasgym.grexa.site/,4.9,300.0,"opposite of Madarat Purba F P School (Primary school, Baruipur, Baruipur P, West Bengal 743610",743330,22.362828,88.4480628,ChIJM9Ste7dtAjoR4_U7MrPgL7w,https://www.google.com/maps/place/?q=place_id:ChIJM9Ste7dtAjoR4_U7MrPgL7w,part_335,2026-09-20 20:17:41
New life yoga centre,Yoga Center,Yoga instructor,Yoga instructor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,1.0,"VQ93+43, Nakpul, West Bengal 743252",743330,22.8678739,88.7526433,ChIJvZs6XgCz-DkR8-KNG9fpbv4,https://www.google.com/maps/place/?q=place_id:ChIJvZs6XgCz-DkR8-KNG9fpbv4,part_335,2026-09-20 20:17:41
Fitness Freak,Yoga Center,Yoga studio,"Yoga studio, Astrologer, Karate school, Physiotherapy Center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 80172 24853,N/A,4.8,12.0,"Ghasiara, Rajpur Sonarpur, West Bengal 700150",Ghasiara,22.4402184,88.4442792,ChIJD12a6o5zAjoRvmkkZSJfm1s,https://www.google.com/maps/place/?q=place_id:ChIJD12a6o5zAjoRvmkkZSJfm1s,part_335,2026-09-20 20:17:41
SIKARI BROTHERS KARATE MARTIAL ARTS ACADEMY OF SEISHINKAI,Yoga Center,Fitness center,"Fitness center, Martial arts school, Karate club, Karate school, Self defense school, Sports school, Yoga instructor",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70293 84294,https://surveyheart.com/form/65b14fc4a3d5b25fefa53844,5.0,15.0,"Baze Haral Road, Champahati, Haral, West Bengal 743330",Champahati,22.3925418,88.4885156,ChIJYefWtvkTAjoRZ5lHmHUJUIY,https://www.google.com/maps/place/?q=place_id:ChIJYefWtvkTAjoRZ5lHmHUJUIY,part_335,2026-09-20 20:17:41
VEDA YOGA & MEDITATION STUDIO,Yoga Center,Yoga studio,"Yoga studio, Meditation center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 82400 50982,N/A,5.0,,"10, James Long Sarani, near D.M Hospital, Gournagar, Thakurpukur, Kolkata, West Bengal 700063","Gournagar, Thakurpukur",22.466378499999998,88.3109338,ChIJHdkPXFZ7AjoRW574ISScdAI,https://www.google.com/maps/place/?q=place_id:ChIJHdkPXFZ7AjoRW574ISScdAI,part_335,2026-09-20 20:17:42
Healthy Minds Yoga Studio,Yoga Center,Yoga studio,Yoga studio,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70034 25147,N/A,4.7,,"129, Kalikapur Main Rd, Purbapally, Borakhola, Kalikapur, Santoshpur, Kolkata, West Bengal 700075","Purbapally, Borakhola, Kalikapur, Santoshpur",22.501942399999997,88.399485,ChIJs8khTP1xAjoR6hkRwwJNQME,https://www.google.com/maps/place/?q=place_id:ChIJs8khTP1xAjoR6hkRwwJNQME,part_335,2026-09-20 20:17:42
Yoga & Happiness -Best Yoga Teachers Training Institute,Yoga Center,Yoga studio,"Yoga studio, Meditation Class, Personal trainer, Retreat center, Yoga instructor, Yoga Retreat Center, Educational institution",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98830 61986,https://yogaandhappiness.in/yoga-classes/,5.0,,"24E, Police Station Regent Park, Ghosh Para Shitala Mandir, 1, MN Sen Ln, near Nanu Babu Bazer, Ashok Nagar, Tollygunge, Kolkata, West Bengal 700040","Ashok Nagar, Tollygunge",22.4860775,88.34368099999999,ChIJ8ZVSR8r9-DkRSs2H7Bxp4tI,https://www.google.com/maps/place/?q=place_id:ChIJ8ZVSR8r9-DkRSs2H7Bxp4tI,part_335,2026-09-20 20:17:42
Fit Version of Life (Yoga Centre),Yoga Center,Yoga studio,Yoga studio,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 91230 84059,http://www.fitversionoflife.com/,5.0,,"near Subhash Maidan, Laxmi Narayan Colony, Chkravartipara, Barasat, Kolkata, West Bengal 700126","Laxmi Narayan Colony, Chkravartipara, Barasat",22.723107,88.4776432,ChIJhZVhfI-Z-DkRY9LLf0q_v90,https://www.google.com/maps/place/?q=place_id:ChIJhZVhfI-Z-DkRY9LLf0q_v90,part_335,2026-09-20 20:17:42
𝐘𝐨𝐠𝐚 𝐒𝐚𝐦𝐚𝐝𝐡𝐚𝐧 | Best yoga classes in kolkata,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Health consultant, Meditation center, Physiotherapy Center, Weight loss service, Wellness center, Yoga instructor",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90020 02959,https://www.yogasamadhan.com/,4.8,,"33, Brojendra Ganguly Ln, Tollygunge, Kolkata, West Bengal 700033",Tollygunge,22.505265599999998,88.3441151,ChIJP8gZFhRxAjoRKUh6PFu3hNI,https://www.google.com/maps/place/?q=place_id:ChIJP8gZFhRxAjoRKUh6PFu3hNI,part_335,2026-09-20 20:17:42
Suswasthya Yoga and Wellness Center । Yoga Class । Online Yoga Class । Yoga Classes at Home | Counselling | Special Educator,Yoga Center,Yoga Retreat Center,"Yoga Retreat Center, Yoga instructor, Yoga studio",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98833 82672,https://suswasthyayogikwellness.com/,4.9,,"Jenes, James Long Sarani, Satyen Park, Joka, Purba Barisha, West Bengal 700104","Satyen Park, Joka",22.456815199999998,88.3080889,ChIJ_8NrdJJ6AjoRcQAHZVabwe8,https://www.google.com/maps/place/?q=place_id:ChIJ_8NrdJJ6AjoRcQAHZVabwe8,part_335,2026-09-20 20:17:42
THE YOGA TRAVELER,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Meditation center, Meditation Class, Physical fitness program, Training center, Wellness center, Wellness program, Yoga instructor, Yoga Retreat Center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98363 79933,https://theyogatraveler.com/,5.0,,"Chowmatha Municipality, 1/A, Balai Mondal Sarani, near Madhyamgram, Basunagar, Madhyamgram, Kolkata, West Bengal 700129","Basunagar, Madhyamgram",22.6933735,88.46482329999999,ChIJTd7AKIOf-DkRVgu57Nli910,https://www.google.com/maps/place/?q=place_id:ChIJTd7AKIOf-DkRVgu57Nli910,part_335,2026-09-20 20:17:42
𝐓𝐡𝐞 𝐕𝐢𝐤𝐬𝐢𝐭 𝐉𝐢𝐯𝐚𝐧 II Yoga II Physiotherapy II Rehabilitation,Yoga Center,Yoga studio,"Yoga studio, Coaching Center, Physiotherapy Center, Rehabilitation center, Retreat center, Studying center, Wellness center, Wellness program, Yoga instructor, Yoga Retreat Center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://www.theviksitjivan.com/,4.9,,"1st Floor, The Viksit Jivan, 293/2, Banku Bihari Chatterjee Rd, beside Kasba Post Office, Rath Tala, Kasba, Kolkata, West Bengal 700042","Rath Tala, Kasba",22.518779499999997,88.3749867,ChIJv6P-j0YJAjoRkFvchd3V6J0,https://www.google.com/maps/place/?q=place_id:ChIJv6P-j0YJAjoRkFvchd3V6J0,part_335,2026-09-20 20:17:42
Baruipur Physical Training Academy,Yoga Center,Physical fitness program,Physical fitness program,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 93305 87518,http://youtube.com/baruipurPhysicalTrainingAcademy,4.9,,"Nayeber More, Baruipur, Baruipur P, West Bengal 743610",743330,22.360861999999997,88.45429589999999,ChIJKyZ7zM9tAjoRPlAYPOPZkJU,https://www.google.com/maps/place/?q=place_id:ChIJKyZ7zM9tAjoRPlAYPOPZkJU,part_335,2026-09-20 20:17:43
