business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BHAI BHAI BIKE SERVICE,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90939 16268,N/A,4.8,11.0,"Bantala, Kolkata, West Bengal 743502",Bantala,22.507850599999998,88.5274177,ChIJ8UbGnXoMAjoRvWmTtXP7ZNA,https://www.google.com/maps/place/?q=place_id:ChIJ8UbGnXoMAjoRvWmTtXP7ZNA,part_335,2026-09-20 20:17:42
Pintu Bike Service Center,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 86410 77863,N/A,5.0,1.0,"Boralighat Borali ghat, Basanti Highway, Bridge, near Boralighat, West Bengal 743502",743330,22.4928498,88.5892258,ChIJZwf5OmoPAjoRlGaatxNkfkw,https://www.google.com/maps/place/?q=place_id:ChIJZwf5OmoPAjoRlGaatxNkfkw,part_335,2026-09-20 20:17:42
Ankit motors,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,1.0,"9F8C+P63, Baruipur - Champahati - Ghatakpukur Rd, Sitakundu, Begampur, West Bengal 743387",743330,22.3667573,88.4705494,ChIJ5ZXFAwBtAjoRWGMKbHrNx38,https://www.google.com/maps/place/?q=place_id:ChIJ5ZXFAwBtAjoRWGMKbHrNx38,part_335,2026-09-20 20:17:42
BISWANT TWO WHEELER SERVICE,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,,,"Chandaneswar, Kashinathpur, West Bengal 743330",Chandaneswar,22.4375635,88.56628409999999,ChIJ37nzKhAOAjoRy0vwSoYPC0w,https://www.google.com/maps/place/?q=place_id:ChIJ37nzKhAOAjoRy0vwSoYPC0w,part_335,2026-09-20 20:17:42
Dibakar sarvice centre,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,1.0,"CC6V+XPF masjid more, Subhasgram, Kolkata, Petua, West Bengal 700147",Subhasgram,22.412397799999997,88.4442936,ChIJxeyyWABtAjoRkXOS4lHGVro,https://www.google.com/maps/place/?q=place_id:ChIJxeyyWABtAjoRkXOS4lHGVro,part_335,2026-09-20 20:17:42
RASIDUL BIKE REPAIRING CENTER,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 89274 10299,N/A,,,"Na, Ghatakpukur Road Kalitala Kalitala, near Ghose Mistanno Bhander, Bodra, Bhangar, West Bengal 743502",Bodra,22.446966,88.602295,ChIJTR7ES8oPAjoRkarqEwycevI,https://www.google.com/maps/place/?q=place_id:ChIJTR7ES8oPAjoRkarqEwycevI,part_335,2026-09-20 20:17:42
Automobile and bike service,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 86707 83783,N/A,3.4,7.0,"9H4F+4GP, Betberia, Banshra, West Bengal 743363",743330,22.355795,88.5728067,ChIJ4SsMhHcRAjoRyUYjpYqecJA,https://www.google.com/maps/place/?q=place_id:ChIJ4SsMhHcRAjoRyUYjpYqecJA,part_335,2026-09-20 20:17:42
Krishna Automobile,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Bike wash, Motorcycle parts store, Oil change service, Tire shop, Wholesaler",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 84780 70088,https://krishna-automobile.grexa.site/,4.3,32.0,"Ghasiara, Kolkata, Rajpur Sonarpur, West Bengal 700150",Ghasiara,22.4385042,88.4465888,ChIJcbAWXotzAjoRp5ePaDGXS74,https://www.google.com/maps/place/?q=place_id:ChIJcbAWXotzAjoRp5ePaDGXS74,part_335,2026-09-20 20:17:42
BIKE SERVICE POINT,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,,,"Baruipur Govt. Polytechnic, Shrirampur, Panchghara, West Bengal 700147",743330,22.405779199999998,88.4536296,ChIJDy5FGwBtAjoRYOfodfHDuW8,https://www.google.com/maps/place/?q=place_id:ChIJDy5FGwBtAjoRYOfodfHDuW8,part_335,2026-09-20 20:17:42
GEAR UP Fultala dudhnai,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62917 38252,N/A,5.0,3.0,"8FV4+8MP, Phooltala, Baruipur P, Dudhnai, West Bengal 743387",Phooltala,22.3433283,88.4567019,ChIJD42YAQBtAjoRdXsh-_eG_ag,https://www.google.com/maps/place/?q=place_id:ChIJD42YAQBtAjoRdXsh-_eG_ag,part_335,2026-09-20 20:17:42
