business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Banglarsare Handloom Udyog- Online Saree Boutique | Ladies Kurtis | Handicraft Items,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing store, Clothing supplier, Clothing wholesaler",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98309 60361,https://banglarsare.com/,4.1,44,"1st Floor, Shivalay Apartment, 843, Jawpur Rd, Panchanantala, Kolkata, West Bengal 700074","Panchanantala, Jawpur, Dum Dum",22.615793699999998,88.4038257,ChIJa9eV-v2d-DkREs9p6dM5vWM,https://www.google.com/maps/place/?q=place_id:ChIJa9eV-v2d-DkREs9p6dM5vWM,part_335,2026-09-20 20:17:34
Anup Fabrics,Silk Saree Wholesaler,Women's clothing store,"Women's clothing store, Clothing wholesaler, Saree Shop",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90073 06666,http://anupfabrics.co.in/,4.6,722,"B No. 12, Ground Floor, Noormal Lohia Ln, Kesoram Katra, Bortola, Barabazar Market, Kolkata, West Bengal 700007","Kesoram Katra, Bortola, Barabazar Market",22.5800762,88.3524846,ChIJqW79Drp3AjoR-uzn5agY2GE,https://www.google.com/maps/place/?q=place_id:ChIJqW79Drp3AjoR-uzn5agY2GE,part_335,2026-09-20 20:17:34
jai kishan shiv ratan mohata,Silk Saree Wholesaler,Women's clothing store,Women's clothing store,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98319 32926,N/A,4.5,166,"gurudwara, 174, Mahatma Gandhi Rd, near burrabazar, Kesoram Katra, Bortola, Barabazar Market, Kolkata, West Bengal 700007","Kesoram Katra, Bortola, Barabazar Market",22.580919299999998,88.3535354,ChIJW4VIkBV3AjoRMLLIybK1r_0,https://www.google.com/maps/place/?q=place_id:ChIJW4VIkBV3AjoRMLLIybK1r_0,part_335,2026-09-20 20:17:34
Budhia Saree Emporium (Pvt) Ltd.,Silk Saree Wholesaler,Wholesaler,"Wholesaler, Saree Shop",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98831 81115,http://info.budhiasarees.com/,4.4,119,"210, Jamuna Lal Bajaj St, lohiya market, Kesoram Katra, Bara Bazar, Barabazar Market, Kolkata, West Bengal 700007","lohiya market, Kesoram Katra, Bara Bazar, Barabazar Market",22.5802963,88.3539498,ChIJlyMALrp3AjoRkPhmBLqq1eg,https://www.google.com/maps/place/?q=place_id:ChIJlyMALrp3AjoRkPhmBLqq1eg,part_335,2026-09-20 20:17:34
"Mrignayani M.P.Govt. Emporium Handloom Saree Retailers, Kolkata",Silk Saree Wholesaler,Clothing store,"Clothing store, Boutique, Clothing wholesaler, Designer Clothing Store, Handicraft, Jewelry store, Saree Shop, Women's clothing store",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 85830 29680,https://www.mrignayanikolkata.com/,4.4,365,"Dakshinapan Complex, 2, Gariahat Rd S, Dhakuria, Jodhpur Park, Kolkata, West Bengal 700068","Dhakuria, Jodhpur Park",22.5089927,88.3668028,ChIJI7LQbylxAjoRxvXuaqQ7yYM,https://www.google.com/maps/place/?q=place_id:ChIJI7LQbylxAjoRxvXuaqQ7yYM,part_335,2026-09-20 20:17:34
MAYA SAREES,Silk Saree Wholesaler,Clothing store,Clothing store,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 93319 71342,N/A,4.9,2708,"4th Floor, BALAJI TERRACE, 134, Cotton St, Raja Katra, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007","Raja Katra, Bara Bazar, Jorasanko",22.5814946,88.3553594,ChIJez4Dfrl3AjoRbUehoeLV2Jg,https://www.google.com/maps/place/?q=place_id:ChIJez4Dfrl3AjoRbUehoeLV2Jg,part_335,2026-09-20 20:17:34
Desh Bidesh Bengal Saree,Silk Saree Wholesaler,Clothing store,"Clothing store, Clothing manufacturer, Clothing supplier, Clothing wholesaler, Garment Exporter",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70011 92874,https://deshbideshbengalsaree.com/,4.7,13,"Shyamlal Para, Lalbaghan, Kalna, West Bengal 713409",743330,23.217597599999998,88.3633243,ChIJFxSk-mDl-DkRib0nPQcMrnI,https://www.google.com/maps/place/?q=place_id:ChIJFxSk-mDl-DkRib0nPQcMrnI,part_335,2026-09-20 20:17:34
SB handloom saree manufacturer and wholesaler,Silk Saree Wholesaler,Designer Clothing Store,"Designer Clothing Store, Clothing wholesaler, Manufacturer, Saree Shop, Women's clothing store",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 86378 57814,https://www.facebook.com/share/1EBkj2Xhxf/,4.4,52,"Ramnath Tarkaratna Rd, Santipur, West Bengal 741404",743330,23.2578897,88.4384376,ChIJA6kZyIHn-DkR5JkPwLjbCkE,https://www.google.com/maps/place/?q=place_id:ChIJA6kZyIHn-DkR5JkPwLjbCkE,part_335,2026-09-20 20:17:34
MJ SILKS,Silk Saree Wholesaler,Clothing manufacturer,"Clothing manufacturer, Clothes and fabric manufacturer, Saree Shop, Textile Exporter",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,http://www.mjsilks.com/,3.7,16,"Jahangir building, nazir momin lane, islampur, near yatim Khana, Champanagar, Bhagalpur, Bihar 812004","Champanagar, Nathnagar",25.2434086,86.9280611,ChIJd1k9BCJL8DkRfthR0pRAJsk,https://www.google.com/maps/place/?q=place_id:ChIJd1k9BCJL8DkRfthR0pRAJsk,part_335,2026-09-20 20:17:34
BALARAM SAHA Handloom saree Store,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing store, Wholesaler",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 89107 16724,https://www.balaramsaha.com/,4.3,249,"1st Floor, Gariahat Rd, Falguni Sangha, Ekdalia, Ballygunge, Kolkata, West Bengal 700019","Falguni Sangha, Ekdalia, Ballygunge",22.5219849,88.3654208,ChIJb8b7K9R2AjoRnlbAiTAIpoo,https://www.google.com/maps/place/?q=place_id:ChIJb8b7K9R2AjoRnlbAiTAIpoo,part_335,2026-09-20 20:17:34
