business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ICDS school,Play School and Daycare,Preschool,Preschool,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 3217 262 005,N/A,3.7,3.0,"9V6J+W8V, Sandeshkhali, West Bengal 743446",743446,22.3623628,88.8808085,ChIJddIVWjzxAToRKrY0wc3NjhQ,https://www.google.com/maps/place/?q=place_id:ChIJddIVWjzxAToRKrY0wc3NjhQ,part_336,2026-09-20 20:17:58
ARPANS HOUSE,Play School and Daycare,Preschool,Preschool,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,2.0,"6WM4+2F6, Unnamed Road, Amtali, West Bengal 743378",743446,22.2325424,88.9061414,ChIJWewbZkeNAToRRQg84NpMIzI,https://www.google.com/maps/place/?q=place_id:ChIJWewbZkeNAToRRQg84NpMIzI,part_336,2026-09-20 20:17:58
N&S,Play School and Daycare,Preschool,Preschool,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,3.5,2.0,"9R95+4M, Kumarkhali, West Bengal 743329",743446,22.368375099999998,88.8114556,ChIJl_22IgD3AToR48Z1bV431gs,https://www.google.com/maps/place/?q=place_id:ChIJl_22IgD3AToR48Z1bV431gs,part_336,2026-09-20 20:17:58
MADHABKATI ANGANWARI KENDRA,Play School and Daycare,Preschool,Preschool,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"7X77+62C, Madhabkati, West Bengal 743439",743446,22.2633167,88.9627103,ChIJ0VbwDADtAToRlAPL7Q-VOWY,https://www.google.com/maps/place/?q=place_id:ChIJ0VbwDADtAToRlAPL7Q-VOWY,part_336,2026-09-20 20:17:58
"EuroKids Preschool in Ashoknagar, North 24 Parganas",Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Montessori school, Nursery school, Playgroup",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 95131 77216,https://www.eurokidsindia.com/preschool-in-north-24-parganas/ashoknagar/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,4.9,32.0,"80A/1, Ashoknagar, Ashoknagar Kalyangarh, West Bengal 743222",743446,22.843632799999998,88.6177184,ChIJu4qwUtS7-DkRoRNI-kc-6pI,https://www.google.com/maps/place/?q=place_id:ChIJu4qwUtS7-DkRoRNI-kc-6pI,part_336,2026-09-20 20:17:58
Play Study's Daspur 1st Play School,Play School and Daycare,Preschool,"Preschool, Service establishment",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 78722 43553,https://www.facebook.com/profile.php?id=61558762527807&mibextid=ZbWKwL,5.0,9.0,"Play Study's Daspur 1st Play School, 743446, India",743446,24.374074399999998,87.85113779999999,ChIJOwmsxWgJ-DkRAGFOtMJXSKE,https://www.google.com/maps/place/?q=place_id:ChIJOwmsxWgJ-DkRAGFOtMJXSKE,part_336,2026-09-20 20:17:58
Hatgachi Butanpara SSK Kendra.,Play School and Daycare,Nursery school,Nursery school,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,3.5,2.0,"CR8C+RCH, Hatgachhi, West Bengal 743442",743446,22.417060499999998,88.8211012,ChIJ5eVicYT3AToRPSkUWJAEB2E,https://www.google.com/maps/place/?q=place_id:ChIJ5eVicYT3AToRPSkUWJAEB2E,part_336,2026-09-20 20:17:58
Kid's valley nursery school,Play School and Daycare,Kindergarten School,Kindergarten School,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,1.0,"5PX7+89J, Malancha-Basanti Rd, Basanti, West Bengal 743312",743446,22.1983301,88.7133892,ChIJRw6S_LchAjoRSsUTmQVKgLg,https://www.google.com/maps/place/?q=place_id:ChIJRw6S_LchAjoRSsUTmQVKgLg,part_336,2026-09-20 20:17:58
PlayKidz Preschool And Daycare,Play School and Daycare,Preschool,Preschool,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 94792 44548,N/A,5.0,1.0,"W Patharghata Rd, Patharghata, Chotto Chandpur, Newtown, Chhapna, Kasinathpur, West Bengal 700135","Patharghata, Chotto Chandpur, Newtown",22.5914218,88.51091699999999,ChIJLdggodELAjoRgDOduTGp-I8,https://www.google.com/maps/place/?q=place_id:ChIJLdggodELAjoRgDOduTGp-I8,part_336,2026-09-20 20:17:58
PlayKidz Sky View,Play School and Daycare,Preschool,"Preschool, Coaching Center, Cultural center, Education center, Primary school",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 81006 39987,N/A,4.9,36.0,"Kalikapur - Maniktala Omarhati, in front of Magnolia Sky View, Newtown, West Bengal 700135","Chotto Chandpur, Newtown",22.591026799999998,88.5108604,ChIJr2WfwRMLAjoRQ4Joy4KJ45M,https://www.google.com/maps/place/?q=place_id:ChIJr2WfwRMLAjoRQ4Joy4KJ45M,part_336,2026-09-20 20:17:58
