business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cctv camera installation and security system installer,CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera repair shop, Camera store, Computer security service, Security service, Security system supplier",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 96966 24305,N/A,5.0,2.0,"Banarjee Para, Shyamnagar, Basudebpur, Bhatpara, West Bengal 743127","Banarjee Para, Shyamnagar",22.8210572,88.3971303,ChIJbcTAMHuR-DkRPden9pWF-No,https://www.google.com/maps/place/?q=place_id:ChIJbcTAMHuR-DkRPden9pWF-No,part_336,2026-09-20 20:18:02
IKR Solutions,CCTV Installation and Security System,Security system installation service,Security system installation service,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 90511 55366,N/A,5.0,344.0,"100/1, Basudebpur Rd, Ganguli Para, Shyamnagar, Bhatpara, West Bengal 743127","Ganguli Para, Shyamnagar",22.828103,88.38477069999999,ChIJRd_JN--R-DkRFWC_p0j9BJI,https://www.google.com/maps/place/?q=place_id:ChIJRd_JN--R-DkRFWC_p0j9BJI,part_336,2026-09-20 20:18:02
cctv camera installation and service MONDAL infotech,CCTV Installation and Security System,Security service,Security service,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93300 39511,https://www.facebook.com/profile.php?id=100094427447489,5.0,87.0,"Rahuta B R S Colony, Niranjan Sen pally, Shyam Nagar, Shyamnagar, Bhatpara, West Bengal 743127","Rahuta B R S Colony, Niranjan Sen pally, Shyam Nagar, Shyamnagar",22.8296189,88.3948132,ChIJ6WhfCT6R-DkRutmzNA9c2eM,https://www.google.com/maps/place/?q=place_id:ChIJ6WhfCT6R-DkRutmzNA9c2eM,part_336,2026-09-20 20:18:02
Cctv camera istallation & services,CCTV Installation and Security System,Security system installation service,Security system installation service,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 90071 61451,N/A,5.0,21.0,"123 a, Pratiraksha Nagar, Birati, Kolkata, North Dumdum, West Bengal 700051","Pratiraksha Nagar, Birati",22.668841,88.4195424,ChIJ9fJl8Baf-DkRpKH8hHa5NcA,https://www.google.com/maps/place/?q=place_id:ChIJ9fJl8Baf-DkRpKH8hHa5NcA,part_336,2026-09-20 20:18:02
CCTV camera sales & service point,CCTV Installation and Security System,Security system installation service,"Security system installation service, Car security system installer, Closed circuit television, Security service, Security system supplier",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 86700 78195,N/A,5.0,78.0,"Babupara Rd, opposite primary school, Thakur Nagar, CHAWMATHA, Karola, West Bengal 743287","Thakur Nagar, CHAWMATHA",22.9241366,88.7731783,ChIJuUZ-wYO1-DkROSPkz6NAGhE,https://www.google.com/maps/place/?q=place_id:ChIJuUZ-wYO1-DkROSPkz6NAGhE,part_336,2026-09-20 20:18:02
night vision cctv service,CCTV Installation and Security System,Security system installation service,Security system installation service,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70039 18344,N/A,5.0,12.0,"232, Bidhanpally, Garia, Kolkata, West Bengal 700084","Bidhanpally, Garia",22.467978199999997,88.3695829,ChIJRXnRcvNxAjoRShQay0KhtMg,https://www.google.com/maps/place/?q=place_id:ChIJRXnRcvNxAjoRShQay0KhtMg,part_336,2026-09-20 20:18:02
"Simple Surveillance Solution - Biometric, Fire alarm, CCTV installation service",CCTV Installation and Security System,Security system installation service,Security system installation service,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 96749 23832,https://www.simplesurveillance.in/,4.8,29.0,"Thakurpukur - Bibirhat - Bakhrahat - Raipur Rd, near Milanbithi Club, Bara Gagan Gohalia, Kanganbaria, Raypur, West Bengal 743503",Bara Gagan Gohalia,22.4014542,88.242637,ChIJsUHTNABjAjoRoWpp9aqVL3A,https://www.google.com/maps/place/?q=place_id:ChIJsUHTNABjAjoRoWpp9aqVL3A,part_336,2026-09-20 20:18:02
Roy Security System,CCTV Installation and Security System,Security system installation service,"Security system installation service, Automation company, Fingerprinting Service Provider, Home automation company, Security service, Camera store, Security system supplier, Video camera repair service, Water Pump Supplier",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 97351 60231,https://roysecurity.in/,4.9,18.0,"Piali Kholaghata, near by D M ENTERPRISE, West Bengal 743363",743446,22.3911016,88.5091988,ChIJlRg7ILgTAjoR1Gfv2Oc7s_E,https://www.google.com/maps/place/?q=place_id:ChIJlRg7ILgTAjoR1Gfv2Oc7s_E,part_336,2026-09-20 20:18:02
GLOBAL CCTV SECURITY SYSTEM,CCTV Installation and Security System,Security system installation service,Security system installation service,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 86170 68388,N/A,5.0,20.0,"Subhash pally nandalal ghosh road, post, near kishore sangha club zora, Bangaon, West Bengal 743235",743446,23.0407616,88.8210896,ChIJiXaC4_w1_zkRan24afrmfRg,https://www.google.com/maps/place/?q=place_id:ChIJiXaC4_w1_zkRan24afrmfRg,part_336,2026-09-20 20:18:02
Security infotech,CCTV Installation and Security System,Security system installation service,Security system installation service,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98360 04432,N/A,4.9,18.0,"Old Jessore Rd, Ward 16, Madhyamgram, Kolkata, West Bengal 700132","Ward 16, Madhyamgram",22.673374799999998,88.4563302,ChIJUc3Pooyf-DkRvDN_E7lu0gA,https://www.google.com/maps/place/?q=place_id:ChIJUc3Pooyf-DkRvDN_E7lu0gA,part_336,2026-09-20 20:18:02
