business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
শিবাগুরু বস্ত্রালয়,Boutiques,Women's clothing store,Women's clothing store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,8.0,"near Dhuchnikhali, Dhuchnikhali, West Bengal 743446",743446,22.3097709,88.8934419,ChIJUQKxeQDzAToRIN4JuWVHC4o,https://www.google.com/maps/place/?q=place_id:ChIJUQKxeQDzAToRIN4JuWVHC4o,part_336,2026-09-20 20:17:37
Madhubani Boutique,Boutiques,Clothing store,Clothing store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98306 48288,N/A,4.6,16.0,"KHANTURA, Station Rd E, opposite of Khantura Boys High School, Jamdani, Gobardanga, West Bengal 743273",Jamdani,22.881222599999997,88.7618693,ChIJkY2XgWyz-DkR-cQBpB2_OSY,https://www.google.com/maps/place/?q=place_id:ChIJkY2XgWyz-DkR-cQBpB2_OSY,part_336,2026-09-20 20:17:37
Naaz Boutique,Boutiques,Clothing store,Clothing store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70039 82902,N/A,5.0,1.0,"130, Rishi Bankim Chandra Rd, ESD Machinery, Jagatdal, Kolkata, Bhatpara, West Bengal 743126","ESD Machinery, Jagatdal",22.8653761,88.3986899,ChIJGTXxQHSR-DkRt6mCXlIlugU,https://www.google.com/maps/place/?q=place_id:ChIJGTXxQHSR-DkRt6mCXlIlugU,part_336,2026-09-20 20:17:37
Doly Shoe House,Boutiques,Shoe store,Shoe store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,2.0,"Dhuchnikhali Bajar pin code, 743446",743446,22.309569699999997,88.8935331,ChIJV7SHZQDzAToRDU5FTxc9H24,https://www.google.com/maps/place/?q=place_id:ChIJV7SHZQDzAToRDU5FTxc9H24,part_336,2026-09-20 20:17:37
Boutique Creation,Boutiques,Boutique,Boutique,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 80133 92307,N/A,3.4,38.0,"3E, Kali Charan Seth Ln, Pearabagan, South Sinthee, Biswanath Colony, Dum Dum, Kolkata, West Bengal 700030","Pearabagan, South Sinthee, Biswanath Colony, Dum Dum",22.6219873,88.3921539,ChIJEX3unvqd-DkRwtJIpTKV2rw,https://www.google.com/maps/place/?q=place_id:ChIJEX3unvqd-DkRwtJIpTKV2rw,part_336,2026-09-20 20:17:37
Beyond 6 Yards Southern Avenue,Boutiques,Boutique,Boutique,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 62916 73277,N/A,4.8,200.0,"10/1, Keyatala Rd, Golpark, Hemanta Mukherjee Sarani, Hindustan Park, Keyatala, Kolkata, West Bengal 700029","Golpark, Hemanta Mukherjee Sarani, Hindustan Park, Keyatala",22.5152169,88.3640322,ChIJ191y-qBxAjoRKRJcvcsZ8Jg,https://www.google.com/maps/place/?q=place_id:ChIJ191y-qBxAjoRKRJcvcsZ8Jg,part_336,2026-09-20 20:17:37
Arsina Boutique,Boutiques,Boutique,Boutique,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70745 62641,N/A,5.0,3.0,"68HG+M3G, Sangrampur, Kalikapota, West Bengal 743355",743446,22.2291788,88.3251921,ChIJPf1_OQBDAjoRkMXDbqEnRO0,https://www.google.com/maps/place/?q=place_id:ChIJPf1_OQBDAjoRkMXDbqEnRO0,part_336,2026-09-20 20:17:37
Kaushiki's,Boutiques,Boutique,"Boutique, Designer Clothing Store, Clothing Accessories Store, Fashion designer, Saree Shop, Women's clothing store",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98301 26611,https://www.facebook.com/kaushikisboutique,4.2,33.0,"Opp: State Bank of India, 11C, Northern Ave, Gangulipara, Paikpara, Branch, Kolkata, West Bengal 700037","Gangulipara, Paikpara",22.6133024,88.3861742,ChIJq8H2-R12AjoRm0Hi8QWL-SQ,https://www.google.com/maps/place/?q=place_id:ChIJq8H2-R12AjoRm0Hi8QWL-SQ,part_336,2026-09-20 20:17:37
"OWND! Kanchrapara, Kolkata",Boutiques,Clothing store,"Clothing store, Baby clothing store, Men's clothing store, Western apparel store",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 91333 26830,https://stores.ownd.in/ownd/north-24-parganas/Kanchrapara/ownd-in-Kanchrapara-north-24-parganas--1chDGk/home,4.7,304.0,"Ground & First Floor, Roy Apartment, Plot No 70/61/77, Bag Station Rd, nearby Bag More, Halisahar, Kanchrapara, West Bengal 743145",Halisahar,22.9515471,88.4258454,ChIJYctwROeV-DkRNPmEmILaKCQ,https://www.google.com/maps/place/?q=place_id:ChIJYctwROeV-DkRNPmEmILaKCQ,part_336,2026-09-20 20:17:37
Srija Boutique & Handicrafts,Boutiques,Clothing store,Clothing store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 79809 38261,http://www.srijaboutiqueandhandicraft.com/,4.8,103.0,"near Dakbangla more, Indraprastha, Kailas Nagar, Barasat, Kolkata, West Bengal 700127","Indraprastha, Kailas Nagar, Barasat",22.7121572,88.4750854,ChIJVxFvIsOZ-DkRsbnCe6UINNE,https://www.google.com/maps/place/?q=place_id:ChIJVxFvIsOZ-DkRsbnCe6UINNE,part_336,2026-09-20 20:17:38
Ichchhapuron,Boutiques,Boutique,Boutique,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98314 53213,https://ichchhapuron.in/,4.3,124.0,"GA-71, Rajdanga Main Road, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107","Sector G, East Kolkata Township",22.5131391,88.398055,ChIJKS-OSVRxAjoRR0Ti0phnwyA,https://www.google.com/maps/place/?q=place_id:ChIJKS-OSVRxAjoRR0Ti0phnwyA,part_336,2026-09-20 20:17:38
