business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Day 2 Day Car wash,Car Wash and Auto Detailing,Car wash,"Car wash, Elevator service",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 70748 74474,N/A,5.0,,"SH 11A, Jamtala, Putia, Murshidabad, West Bengal 742213",Jamtala,24.4425015,88.1723306,ChIJe-4xCgDL-zkRDUzNHYk6MV8,https://www.google.com/maps/place/?q=place_id:ChIJe-4xCgDL-zkRDUzNHYk6MV8,part_333,2026-09-20 20:17:43
GO Cleaners Auto detailing centre,Car Wash and Auto Detailing,Car wash,Car wash,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 95470 11748,N/A,4.7,,"Gora Bazar, West Bengal 742101",Gora Bazar,24.0848075,88.2444711,ChIJPduQ4tV_-TkRm_6wCBU1gUc,https://www.google.com/maps/place/?q=place_id:ChIJPduQ4tV_-TkRm_6wCBU1gUc,part_333,2026-09-20 20:17:43
RSK CAR WASHING,Car Wash and Auto Detailing,Car wash,Car wash,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 90029 66278,N/A,5.0,,"Shyampur natunpara, near East jumma musjid, Bhagwangola, Belia Syampur, West Bengal 742135",742148,24.3425153,88.2956471,ChIJZbT8m5PP-zkREDCZ1RSPenA,https://www.google.com/maps/place/?q=place_id:ChIJZbT8m5PP-zkREDCZ1RSPenA,part_333,2026-09-20 20:17:43
Basir Hazi More,Car Wash and Auto Detailing,Car wash,Car wash,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,N/A,5.0,,"97WR+8P5, Brahimottar Manick Chak, West Bengal 742148",742148,24.3957636,88.29185299999999,ChIJs6qUVADP-zkRgpN7oZxSA60,https://www.google.com/maps/place/?q=place_id:ChIJs6qUVADP-zkRgpN7oZxSA60,part_333,2026-09-20 20:17:43
Washup Detailz official,Car Wash and Auto Detailing,Car wash,"Car wash, Auto Accessories Store, Car detailing service",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 97491 35559,N/A,5.0,,"NH34, near Samrat Hotel, beside MRF Tyres, Panchanantala, Chuapur, Berhampore, West Bengal 742101","Panchanantala, Chuapur",24.0907569,88.26861509999999,ChIJ-2XzZz5_-TkR6B4g6b9H_-8,https://www.google.com/maps/place/?q=place_id:ChIJ-2XzZz5_-TkR6B4g6b9H_-8,part_333,2026-09-20 20:17:44
Gauranga Car Wash,Car Wash and Auto Detailing,Car wash,Car wash,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 83500 03516,N/A,5.0,,"Gobindapur Lakheraj, West Bengal 742164",742148,24.156037899999998,88.30091139999999,ChIJT4pzlaPX-zkRjjG9TZ7BbxM,https://www.google.com/maps/place/?q=place_id:ChIJT4pzlaPX-zkRjjG9TZ7BbxM,part_333,2026-09-20 20:17:44
PODDAR CAR SERVICING CENTRE,Car Wash and Auto Detailing,Car wash,Car wash,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,N/A,4.6,,"NH 12, near Sangam Hotel, Raninagar, Chuapur, Berhampore, West Bengal 742102","Raninagar, Chuapur",24.0781271,88.2675448,ChIJgzB7Lw99-TkR3cazV7Me56U,https://www.google.com/maps/place/?q=place_id:ChIJgzB7Lw99-TkR3cazV7Me56U,part_333,2026-09-20 20:17:44
Purbasha Car Detailing- Doorstep Ceramic Coating and PPF,Car Wash and Auto Detailing,Car wash,Car wash,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 91345 20772,N/A,4.6,21.0,"Nibhuji Bazar, Goara, Hatkalna, Kalna, West Bengal 713409","Nibhuji Bazar, Goara",23.240003599999998,88.3375945,ChIJicU_egXx-DkRYU1k7tn_0Wg,https://www.google.com/maps/place/?q=place_id:ChIJicU_egXx-DkRYU1k7tn_0Wg,part_333,2026-09-20 20:17:44
Fast Car Solutions,Car Wash and Auto Detailing,Car wash,"Car wash, Auto body shop, Auto Dent Removal Service Station, Auto insurance agency, Auto painting, Auto restoration service, Bike wash, Vehicle wrapping service",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 89615 50550,http://www.fastcarsolutions.com/,4.9,1661.0,"15/1, Chinar Park, Tegharia, Rajarhat, Kolkata, West Bengal 700052","Chinar Park, Tegharia, Rajarhat",22.6236602,88.4396074,ChIJ6xULydCf-DkREfbed-FTxf4,https://www.google.com/maps/place/?q=place_id:ChIJ6xULydCf-DkREfbed-FTxf4,part_333,2026-09-20 20:17:44
DetailX,Car Wash and Auto Detailing,Car detailing service,Car detailing service,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,N/A,5.0,4.0,"Raninagar, Nabapalli, Berhampore, West Bengal 742101","Raninagar, Nabapalli",24.098260699999997,88.268411,ChIJmSKSVZ99-TkR0pVcAFy3VeI,https://www.google.com/maps/place/?q=place_id:ChIJmSKSVZ99-TkR0pVcAFy3VeI,part_333,2026-09-20 20:17:44
