business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jungle Enterprises,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,https://jungleenterprises.in/,,,"Ground Floor, Nirmalya Signature, Doordarshan Colony, Jayadev Vihar, Bhubaneswar, Odisha 751013","Doordarshan Colony, Jayadev Vihar",20.296427299999998,85.82557539999999,ChIJLYeF32gJGToRM6zK-77Kyxg,https://www.google.com/maps/place/?q=place_id:ChIJLYeF32gJGToRM6zK-77Kyxg,part_337,2026-09-20 20:18:05,5877
"B k s core cutting, salb cutting, and rad Ankaring",Industrial Equipment Suppliers,Construction equipment supplier,Construction equipment supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,4.3,6.0,"Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.2997189,85.8172051,ChIJn4QM63oJGToRl0MXFa4N5PQ,https://www.google.com/maps/place/?q=place_id:ChIJn4QM63oJGToRl0MXFa4N5PQ,part_337,2026-09-20 20:18:05,5878
Flowtech Automation Private Limited,Industrial Equipment Suppliers,Industrial equipment supplier,Industrial equipment supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 82801 82801,http://fapl.co.in/,4.0,1.0,"Ground Floor, Plot # 1544, near Maa Sunadei Temple, Unit 4, Madhusudan Nagar, Bhubaneswar, Odisha 751022","Unit 4, Madhusudan Nagar",20.2856621,85.8283792,ChIJWaI4CVoJGToRKslb0O80uSg,https://www.google.com/maps/place/?q=place_id:ChIJWaI4CVoJGToRKslb0O80uSg,part_337,2026-09-20 20:18:05,5879
SKS ENTERPRISES Mosquito Net and Invisible Grills,Industrial Equipment Suppliers,Safety equipment supplier,Safety equipment supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 90904 26400,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=http://www.thesksenterprises.in/&ved=2ahUKEwiygMCv1cWUAxVqzjgGHU5XLmYQFnoECFMQAQ&usg=AOvVaw130z9iGKQfFC874aaNHwrX,4.9,175.0,"F G /140, Indradhanu Market, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Indradhanu Market, IRC Village, Nayapalli",20.2922565,85.8159704,ChIJLeDnPn8JGToRM-ZbttlWXyg,https://www.google.com/maps/place/?q=place_id:ChIJLeDnPn8JGToRM-ZbttlWXyg,part_337,2026-09-20 20:18:05,5880
Sri Venkateswara Safety Nets and Invisible Grills,Industrial Equipment Suppliers,Safety equipment supplier,Safety equipment supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,https://www.balconypigeonnetsbbsr.com/,5.0,1.0,"Block N5, IRC Village, Jayadev Vihar, Bhubaneswar, Odisha 751015","Block N5, IRC Village, Jayadev Vihar",20.2908531,85.8181479,ChIJ0UdGs2mW6qIRC4LF6fDEIkg,https://www.google.com/maps/place/?q=place_id:ChIJ0UdGs2mW6qIRC4LF6fDEIkg,part_337,2026-09-20 20:18:05,5881
Prompt Technical Services,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Corporate office",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 89173 91462,http://prompttechnical.com/,5.0,5.0,"Plot no 357/3473,near reliance jio office,biju patnaik collage road,Nayapali, bhubaneswar - 751013, Bhubaneswar, Odisha 751016",Jayadev Vihar,20.298180199999997,85.8148274,ChIJ_X-dcQAJGToRr3Qr9AEu8gI,https://www.google.com/maps/place/?q=place_id:ChIJ_X-dcQAJGToRr3Qr9AEu8gI,part_337,2026-09-20 20:18:05,5882
Shree Ganesh Invisible Grills,Industrial Equipment Suppliers,Safety equipment supplier,Safety equipment supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 73493 65996,https://www.sginvisiblegrills.in/index.php,5.0,70.0,"7RX8+7F6, Sarandapali, Jayadev Vihar, Bhubaneswar, Odisha 751013","Sarandapali, Jayadev Vihar",20.2981817,85.8162278,ChIJd4z7YdQJGToRzRX_dK8lqJA,https://www.google.com/maps/place/?q=place_id:ChIJd4z7YdQJGToRzRX_dK8lqJA,part_337,2026-09-20 20:18:05,5883
Hi-Tech Systems & Services Ltd,Industrial Equipment Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Manufacturer, Power plant equipment supplier",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 77355 24040,https://hitech.in/,,,"Aditya Palace, 4H, Paika Nagar, Gopabandhu Nagar, Bhubaneswar, Odisha 751003","Paika Nagar, Gopabandhu Nagar",20.2808916,85.80270229999999,ChIJxd0s6XwJGToRy9iQQlAGcPA,https://www.google.com/maps/place/?q=place_id:ChIJxd0s6XwJGToRy9iQQlAGcPA,part_337,2026-09-20 20:18:05,5884
Sharanya Invisible Grills,Industrial Equipment Suppliers,Safety equipment supplier,Safety equipment supplier,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 88853 99044,https://sharanyainvisiblegrills.com/,5.0,4.0,"Plot No. 142/B, Jayadev Vihar-Ekamra Kanana Rd, near Fortune Tower, Block N5, Nayapalli, Bhubaneswar, Odisha 751013","Block N5, Nayapalli",20.2974358,85.81663429999999,ChIJKW4JpzEJGToR3ANZpzotoYY,https://www.google.com/maps/place/?q=place_id:ChIJKW4JpzEJGToR3ANZpzotoYY,part_337,2026-09-20 20:18:05,5885
Schmitt Insignia Pvt Ltd,Industrial Equipment Suppliers,Elevator Manufacturer,"Elevator Manufacturer, Building consultant, Construction equipment supplier, Elevator service, Material handling equipment supplier",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 81179 77338,http://www.schmitt.co.in/,5.0,2.0,"Ground Floor, Ginger Bhubaneshwar, Nandankanan Rd, Jaydeb Bihar, Nayapalli, Bhubaneswar, Odisha 751013","Jaydeb Bihar, Nayapalli",20.303208299999998,85.8231512,ChIJeaSiuuUJGToRlG95drfcL3w,https://www.google.com/maps/place/?q=place_id:ChIJeaSiuuUJGToRlG95drfcL3w,part_337,2026-09-20 20:18:05,5886
