business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Martha Healthcare Center,Nursing Home and Maternity Hospital,Community health center,Community health center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,2.0,"NH10, Fatak Line, Rangpo, Sikkim 737132",Fatak Line,27.176523999999997,88.5282111,ChIJH7-tAbWh5jkRGdQFOK2dNk4,https://www.google.com/maps/place/?q=place_id:ChIJH7-tAbWh5jkRGdQFOK2dNk4,part_331,2026-09-20 20:17:42
Drishyam Healthcare Centre,Nursing Home and Maternity Hospital,Hospital,Hospital,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 95934 28545,N/A,5.0,1.0,"Mg Marg, Jorethang, Sikkim 737121",737133,27.131186,88.2814832,ChIJlbtBtrMp5DkRrakmhe1nNl8,https://www.google.com/maps/place/?q=place_id:ChIJlbtBtrMp5DkRrakmhe1nNl8,part_331,2026-09-20 20:17:42
Serenity Home Day Care cum Counciling Center,Nursing Home and Maternity Hospital,Mental health service,Mental health service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,1.0,"Old STNM Hospital, beside wellness park, Arithang, Gangtok, Sikkim 737101",Arithang,27.3317019,88.61433699999999,ChIJx4UcIgCl5jkRiWGKLn-S180,https://www.google.com/maps/place/?q=place_id:ChIJx4UcIgCl5jkRiWGKLn-S180,part_331,2026-09-20 20:17:42
Mangalbaria PHC,Nursing Home and Maternity Hospital,Hospital,Hospital,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.7,10.0,"57RP+RHJ, Takuthang, Sikkim 737121",737133,27.1920862,88.2863777,ChIJk0La3fWC5jkR2u97JX7OfBI,https://www.google.com/maps/place/?q=place_id:ChIJk0La3fWC5jkR2u97JX7OfBI,part_331,2026-09-20 20:17:42
Gynaecologist ward stnm 6th flor,Nursing Home and Maternity Hospital,Hospital department,Hospital department,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,1.0,"8JW3+G8Q, near STNM hospital, Sungava, Gangtok, Sikkim 737101",Sungava,27.346527299999998,88.6031679,ChIJA7_1r32l5jkRaKK7HIP2sv4,https://www.google.com/maps/place/?q=place_id:ChIJA7_1r32l5jkRaKK7HIP2sv4,part_331,2026-09-20 20:17:42
Chungthang Primary Health Centre,Nursing Home and Maternity Hospital,Hospital,Hospital,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.7,6.0,"JJ3W+VRX, Chungthang, Sikkim 737120",737133,27.6047361,88.64709649999999,ChIJ9TNr4UPJ5jkRiIYwLinpd1c,https://www.google.com/maps/place/?q=place_id:ChIJ9TNr4UPJ5jkRiIYwLinpd1c,part_331,2026-09-20 20:17:42
Tashiding Hospital Quarter,Nursing Home and Maternity Hospital,Hospital,Hospital,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,2.0,"87GP+RMM, Tashiding, Laso, Sikkim 737111",737133,27.3270967,88.2866647,ChIJld0GIRSF5jkRDHZHwen4tBo,https://www.google.com/maps/place/?q=place_id:ChIJld0GIRSF5jkRDHZHwen4tBo,part_331,2026-09-20 20:17:42
Manokamna Hospital,Nursing Home and Maternity Hospital,Nursing home,"Nursing home, Doctor, Gynecologist, Hospital",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94340 86154,https://manokamnahospital.com/,4.2,328.0,"ISKCON MANDIR ROAD, Sevoke Rd, Siliguri, West Bengal 734001","Ward Number 13, Bankim Nagar",26.728765499999998,88.43768159999999,ChIJA8I7gghB5DkRWBhyvoo2Fx4,https://www.google.com/maps/place/?q=place_id:ChIJA8I7gghB5DkRWBhyvoo2Fx4,part_331,2026-09-20 20:17:42
Old Age Home,Nursing Home and Maternity Hospital,Old Age Home,Old Age Home,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,1.0,"5959+P8, Namchi, Sikkim 737126",737133,27.1593257,88.368302,ChIJaRD8hXkn5DkRh3h1cum5glU,https://www.google.com/maps/place/?q=place_id:ChIJaRD8hXkn5DkRh3h1cum5glU,part_331,2026-09-20 20:17:42
Pakyong District veterinary hospital,Nursing Home and Maternity Hospital,Hospital,Hospital,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.0,2.0,"6JR5+V75, Pachey, Sikkim 737106",737133,27.2421452,88.608235,ChIJj_LCBQCn5jkRtqCsxqnYDwg,https://www.google.com/maps/place/?q=place_id:ChIJj_LCBQCn5jkRtqCsxqnYDwg,part_331,2026-09-20 20:17:42
