business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
YOB Hotel Supplies,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Exporter, Hospital equipment and supplies",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 84470 15627,http://www.yobhotelsupplies.com/,4.9,23.0,"Milestone Building, Check Post, Siliguri, West Bengal 734008",Nimbu Basti,26.7484489,88.4374033,ChIJ-RwpKWJB5DkR7sTpmSGmjxI,https://www.google.com/maps/place/?q=place_id:ChIJ-RwpKWJB5DkR7sTpmSGmjxI,part_331,2026-09-20 20:17:57
Eston Amenities Pvt Ltd. | Hotel Equipment and Amenities Supplier,Hotel Kit Suppliers,Industrial equipment supplier,"Industrial equipment supplier, Cleaning products supplier, Supplier, Equipment supplier, Hotel supply store, Restaurant supply store",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 99302 89998,http://www.estonamenities.com/,4.9,114.0,"D-308/309, 2nd Floor, Shanti Shopping Centre, Shanti Vihar, Mira Road East, Mumbai, Mira Bhayandar, Maharashtra 401107","Shanti Vihar, Mira Road East",19.280319,72.856717,ChIJRYAPBjGx5zsRRHJ6xeNqVx4,https://www.google.com/maps/place/?q=place_id:ChIJRYAPBjGx5zsRRHJ6xeNqVx4,part_331,2026-09-20 20:17:57
Ak hotel supplies,Hotel Kit Suppliers,Corporate office,Corporate office,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.5,2.0,"shop no 4, Crescent court, beside kins diagnostic jhankar more, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.717313299999997,88.42548529999999,ChIJjxbRiSRB5DkRgQqOpNeY4uI,https://www.google.com/maps/place/?q=place_id:ChIJjxbRiSRB5DkRgQqOpNeY4uI,part_331,2026-09-20 20:17:57
Quality Lodge,Hotel Kit Suppliers,Hotel,Hotel,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94341 09794,N/A,3.5,29.0,"NH-31A, Deorali Rd, Deorali Bazar, Gangtok, Sikkim 737102",Deorali Bazar,27.3198281,88.6087586,ChIJJd_h4xGl5jkR7rAYoB5w-RY,https://www.google.com/maps/place/?q=place_id:ChIJJd_h4xGl5jkR7rAYoB5w-RY,part_331,2026-09-20 20:17:57
2C MESS,Hotel Kit Suppliers,Hotel,Hotel,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,1.0,"GGM6+5VP, Barapating, Sikkim 737116",737133,27.5329718,88.5122178,ChIJs7tvvLy_5jkRlbL5tiU3woc,https://www.google.com/maps/place/?q=place_id:ChIJs7tvvLy_5jkRlbL5tiU3woc,part_331,2026-09-20 20:17:57
"Hotel,fooding and lodging",Hotel Kit Suppliers,Hotel,Hotel,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94331 27828,N/A,,,"Hospital road, Ravangla, Sikkim 737139",737133,27.3019023,88.3668153,ChIJU-OHJoCb5jkRZTKBNuWq-xI,https://www.google.com/maps/place/?q=place_id:ChIJU-OHJoCb5jkRZTKBNuWq-xI,part_331,2026-09-20 20:17:57
Zarnik Hotel Supplies Private Limited,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 79949 20333,https://zarnik.com/,4.4,56.0,"Chambady Rd, PO, Elamakkara, Ernakulam, Keralam 682026",Elamakkara,10.0211882,76.2838226,ChIJ__-vNfcMCDsR1VaQk4nLO-Y,https://www.google.com/maps/place/?q=place_id:ChIJ__-vNfcMCDsR1VaQk4nLO-Y,part_331,2026-09-20 20:17:57
Hotel Cooks Inn,Hotel Kit Suppliers,Hotel,Hotel,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,3.0,7.0,"6HVX+944, Pakyong, Sikkim 737106",737133,27.2433958,88.5978257,ChIJ6ypX0WOm5jkRx0KppICoCIM,https://www.google.com/maps/place/?q=place_id:ChIJ6ypX0WOm5jkRx0KppICoCIM,part_331,2026-09-20 20:17:57
Sikkim hotel supplies,Hotel Kit Suppliers,Hotel supply store,Hotel supply store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,http://www.sikkimhotelsupplies.com/,,,"Chanatar, Gangtok, Rangpo, Sikkim 737132",Chanatar,27.1769009,88.5305473,ChIJvxRI5R-h5jkRMFsseLh3WMQ,https://www.google.com/maps/place/?q=place_id:ChIJvxRI5R-h5jkRMFsseLh3WMQ,part_331,2026-09-20 20:17:57
Radhika Hotel Supplies,Hotel Kit Suppliers,Wholesaler,"Wholesaler, Hotel supply store",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98323 35000,https://www.radhikahotelsupplies.com/,4.9,63.0,"Ojha Mansion, Hill Cart Rd, opposite Bata, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.7143944,88.4238979,ChIJKyvas-lB5DkR60hWajaMsPo,https://www.google.com/maps/place/?q=place_id:ChIJKyvas-lB5DkR60hWajaMsPo,part_331,2026-09-20 20:17:58
