business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Satish Rasaily Drug Deaddiction & Psychiatry Clinic,Therapy Center,Addiction treatment center,Addiction treatment center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 85970 13106,N/A,4.9,241.0,"Prasanti Medical Clinic, Singtam, Sikkim 737134",737133,27.230671899999997,88.4975503,ChIJO8ntQuih5jkRUp3OCOA-zxU,https://www.google.com/maps/place/?q=place_id:ChIJO8ntQuih5jkRUp3OCOA-zxU,part_331,2026-09-20 20:17:54
Anugrah detoxification and rehabilitation centre,Therapy Center,Addiction treatment center,Addiction treatment center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,3.0,"5GMH+9FR, Rangpo, Sikkim 737132",737133,27.1834948,88.5286428,ChIJ8fKm1D6h5jkRKmh2G2hb0JM,https://www.google.com/maps/place/?q=place_id:ChIJ8fKm1D6h5jkRKmh2G2hb0JM,part_331,2026-09-20 20:17:54
Radha Krishna acupressure therapy centre,Therapy Center,Alternative medicine practitioner,Alternative medicine practitioner,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 83718 02101,N/A,,,"post office, Pacheykhani, Pakyong, Sikkim 737106",737133,27.2178638,88.6002391,ChIJw8gDWM-n5jkRtRhTnflcMyk,https://www.google.com/maps/place/?q=place_id:ChIJw8gDWM-n5jkRtRhTnflcMyk,part_331,2026-09-20 20:17:54
CENTER FOR ADDICTION MEDICINE SIKKIM,Therapy Center,Addiction treatment center,Addiction treatment center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.6,9.0,"6FHW+8J8, Chuwatar, Sawney, Singtam, Sikkim 737134",737133,27.2282776,88.4965716,ChIJ4SFxdmyh5jkRc3_qFTCk1RI,https://www.google.com/maps/place/?q=place_id:ChIJ4SFxdmyh5jkRc3_qFTCk1RI,part_331,2026-09-20 20:17:54
Jagriti Intigrated Rehabilitation Centre For Addicts,Therapy Center,Addiction treatment center,Addiction treatment center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97490 49684,N/A,4.7,3.0,"8JP5+R9J, M.M Rasaily Rd, Sungava, Gangtok, Sikkim 737101",Sungava,27.3370885,88.60839759999999,ChIJD0OKNV-l5jkR0ddlxAcb2So,https://www.google.com/maps/place/?q=place_id:ChIJD0OKNV-l5jkR0ddlxAcb2So,part_331,2026-09-20 20:17:54
Serenity Home,Therapy Center,Rehabilitation center,Rehabilitation center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98007 30010,N/A,5.0,14.0,"Manbir Colony, Lower Burtuk Rd, Sikkim 737101",Burtuk,27.3506055,88.6118608,ChIJI5lWSjSl5jkR997LY8_U_Ec,https://www.google.com/maps/place/?q=place_id:ChIJI5lWSjSl5jkR997LY8_U_Ec,part_331,2026-09-20 20:17:54
"Opioid Substitution Therapy (OST) Centre, gangtok",Therapy Center,Addiction treatment center,Addiction treatment center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,2.0,"6FJW+F93, Singtam, Sikkim 737134",737133,27.230252099999998,88.4959349,ChIJTTXJGQCh5jkRBZCzPBpCAxY,https://www.google.com/maps/place/?q=place_id:ChIJTTXJGQCh5jkRBZCzPBpCAxY,part_331,2026-09-20 20:17:54
Mirikai Rehab Centre,Therapy Center,Rehabilitation center,Rehabilitation center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.0,2.0,"7H8X+J99, Sikkim 737135",737133,27.266527,88.5984807,ChIJz8D-idOl5jkRL0E7ZOsB95s,https://www.google.com/maps/place/?q=place_id:ChIJz8D-idOl5jkRL0E7ZOsB95s,part_331,2026-09-20 20:17:54
Sanjeevani Rehab,Therapy Center,Hospital,Hospital,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,https://www.facebook.com/share/199v8zvzsW/,4.6,15.0,"Poongdara, Namchi, Sikkim 737126",Poongdara,27.1651875,88.3930625,ChIJk67-C8Gd5jkRmgjEfaOuoPs,https://www.google.com/maps/place/?q=place_id:ChIJk67-C8Gd5jkRmgjEfaOuoPs,part_331,2026-09-20 20:17:54
Mom's Belief Athena Child Development Center-Gangtok,Therapy Center,Child psychologist,Child psychologist,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 95992 90710,https://www.momsbelief.com/contact-us/,4.5,17.0,"6th Mile, Municipal ward, 6th Mile, NH10, near Harka Maya College, Tadong, Gangtok, Sikkim 737102",Tadong,27.310162499999997,88.589609,ChIJnbYyM6-l5jkRDSiCt3fzUAw,https://www.google.com/maps/place/?q=place_id:ChIJnbYyM6-l5jkRDSiCt3fzUAw,part_331,2026-09-20 20:17:54
