business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Umang Creation,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97498 94670,N/A,4.8,153.0,"Shyam Plaza, 1st Floor, Station Feeder Rd, opposite Amravati Hotel, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.7032638,88.4198296,ChIJf2Ag_VxB5DkR6F6F5k1t3RM,https://www.google.com/maps/place/?q=place_id:ChIJf2Ag_VxB5DkR6F6F5k1t3RM,part_331,2026-09-20 20:17:37
Radhika Sharma,Textile Wholesaler and Fabric Merchant,Fabric store,Fabric store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 96419 72551,N/A,5.0,,"5 Rais Building Noapgaon, Machong Road, East Sikkim, Sikkim 737106",737133,27.2428153,88.5986454,ChIJi9ra2kun5jkRt0E4qNE3lVc,https://www.google.com/maps/place/?q=place_id:ChIJi9ra2kun5jkRt0E4qNE3lVc,part_331,2026-09-20 20:17:39
Shiv Trading Co.,Textile Wholesaler and Fabric Merchant,Fabric store,"Fabric store, Fabric wholesaler, Sofa store, Upholstery shop",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 81166 03494,N/A,4.3,,"Shiv Trading, Nanak Tower, Sevoke Rd, Ward 11, Janta Nagar, Siliguri, West Bengal 734001","Ward 11, Janta Nagar",26.7182013,88.4249418,ChIJQz1CgVJB5DkR8PqZdjS7nSo,https://www.google.com/maps/place/?q=place_id:ChIJQz1CgVJB5DkR8PqZdjS7nSo,part_331,2026-09-20 20:17:39
J P TEX,Textile Wholesaler and Fabric Merchant,Clothing wholesaler,"Clothing wholesaler, Clothes and fabric wholesaler, Clothing manufacturer, Clothing store, Clothing supplier, Clothing wholesale market place, Jeans shop, T-shirt store, Wholesaler",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,https://www.facebook.com/profile.php?id=61584386884775#,4.8,,"SHOP NO.240, 2nd floor, Gauri Shankar Market, Bidhan Rd, near GOSTHO PAUL STATUE, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.7149061,88.4262226,ChIJNQ055INB5DkRFBwavtdf6bk,https://www.google.com/maps/place/?q=place_id:ChIJNQ055INB5DkRFBwavtdf6bk,part_331,2026-09-20 20:17:39
Hazarimal & Sons,Textile Wholesaler and Fabric Merchant,Fabric wholesaler,"Fabric wholesaler, Clothing wholesale market place",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 81014 64696,N/A,5.0,,"MH St, near : SARKARI KUA, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.684829399999998,86.97356479999999,ChIJo17c6tce9zkRf28spDidiBI,https://www.google.com/maps/place/?q=place_id:ChIJo17c6tce9zkRf28spDidiBI,part_331,2026-09-20 20:17:39
Knitbirds,Textile Wholesaler and Fabric Merchant,Store,Store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 79088 65834,http://knitbirds.in/,4.7,,"Mahatma Gandhi Marg, Arithang, Gangtok, Sikkim 737101",Arithang,27.3283782,88.6122335,ChIJbYRSRpixTC0Rfg1a60Ranpg,https://www.google.com/maps/place/?q=place_id:ChIJbYRSRpixTC0Rfg1a60Ranpg,part_331,2026-09-20 20:17:39
Mohammad.intekhab (cloth shop),Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 92055 24819,http://jsdi.al/m4yQS,5.0,,"Rongli, Sikkim 737131",737133,27.2024989,88.7020951,ChIJzVSq1xyp5jkRFOESJYhbcmo,https://www.google.com/maps/place/?q=place_id:ChIJzVSq1xyp5jkRFOESJYhbcmo,part_331,2026-09-20 20:17:39
EASY THREADS,Textile Wholesaler and Fabric Merchant,Clothing supplier,Clothing supplier,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,,"C/o KOMAL LOHIA, SP Mukherjee Rd, near GOPINATH MANIR, Khalpara, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.7069171,88.41985269999999,ChIJYeM9NblB5DkRJuimDztjWCM,https://www.google.com/maps/place/?q=place_id:ChIJYeM9NblB5DkRJuimDztjWCM,part_331,2026-09-20 20:17:39
M/S. JWALA ENTERPRISES,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94342 57061,N/A,3.9,,"Bagar Rd, Jorethang, Sikkim 737126",737133,27.1309705,88.2815644,ChIJjQRBtLMp5DkRlw5cTa_T8mY,https://www.google.com/maps/place/?q=place_id:ChIJjQRBtLMp5DkRlw5cTa_T8mY,part_331,2026-09-20 20:17:39
Chithra textile wholesaler,Textile Wholesaler and Fabric Merchant,Clothing store,Clothing store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94951 10730,N/A,4.1,,"Pazhayakadalane, Balaramapuram, Keralam 695501",Pazhayakadalane,8.4244127,77.0464801,ChIJ37mZ9MivBTsRTVJwW5-qOc0,https://www.google.com/maps/place/?q=place_id:ChIJ37mZ9MivBTsRTVJwW5-qOc0,part_331,2026-09-20 20:17:39
