business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AAVYA ENTERPRISES,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.5,2.0,"8JH6+CX3 Lall market, Mahatma Gandhi Marg, Arithang, Gangtok, Sikkim 737101",Arithang,27.316062499999997,88.6124375,ChIJPXwd3tyl5jkRMxx9FqeDIFk,https://www.google.com/maps/place/?q=place_id:ChIJPXwd3tyl5jkRMxx9FqeDIFk,part_331,2026-09-20 20:18:11,4692
Santosh Prasad Grocery Store,Wholesale Market / Mandi,Wholesaler,Wholesaler,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 81709 63408,N/A,5.0,2.0,"C-2, Lower Bazar Rd, near Rangpo Ground, Lower Bazar, Mandi bazar, Rangpo, Sikkim 737132","Lower Bazar, Mandi bazar",27.1750689,88.5288661,ChIJnegRrXuh5jkRXvthK147UBo,https://www.google.com/maps/place/?q=place_id:ChIJnegRrXuh5jkRXvthK147UBo,part_331,2026-09-20 20:18:11,4693
BADRI LUITEL,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 88844 99993,http://www.badri.com/,5.0,1.0,"Kaputhang, Sikkim 737133",737133,27.2269375,88.6198125,ChIJ7RNiYfSn5jkRAKmJaA-TQXo,https://www.google.com/maps/place/?q=place_id:ChIJ7RNiYfSn5jkRAKmJaA-TQXo,part_331,2026-09-20 20:18:11,4694
MG Road Market,Wholesale Market / Mandi,Market,Market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.1,,"8JJ7+GGV, Arithang, Gangtok, Sikkim 737101",Arithang,27.3313512,88.6138113,ChIJP9H4IQCl5jkR_FPHr4DH9W4,https://www.google.com/maps/place/?q=place_id:ChIJP9H4IQCl5jkR_FPHr4DH9W4,part_331,2026-09-20 20:18:12,4695
Rangli market,Wholesale Market / Mandi,Shopping mall,Shopping mall,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.4,,"6P33+F7V, Rongli, Sikkim 737131",737133,27.2037366,88.7031617,ChIJs2Azk7qp5jkRCoSUOY5-ovI,https://www.google.com/maps/place/?q=place_id:ChIJs2Azk7qp5jkRCoSUOY5-ovI,part_331,2026-09-20 20:18:12,4696
Lal Bazar,Wholesale Market / Mandi,Market,Market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.1,,"Bazar, LAL Bazar, Mangan, Sikkim 737116",737133,27.500984499999998,88.5347419,ChIJeZv58x6_5jkR8rJIGR7LlxU,https://www.google.com/maps/place/?q=place_id:ChIJeZv58x6_5jkR8rJIGR7LlxU,part_331,2026-09-20 20:18:12,4697
NEW MARKET ( LALL BAZAR),Wholesale Market / Mandi,Market,Market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.1,38.0,"8947+4X3, Ravangla, Sikkim 737139",737133,27.305251,88.36492899999999,ChIJdYRkK1Wa5jkRSKmMIEkqJwo,https://www.google.com/maps/place/?q=place_id:ChIJdYRkK1Wa5jkRSKmMIEkqJwo,part_331,2026-09-20 20:18:13,4698
Chowk Bazaar Vegetable Market,Wholesale Market / Mandi,Produce market,Produce market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 85745 12877,N/A,4.0,1174.0,"27R7+RRW, Hill Cart Rd, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.0421132,88.2645663,ChIJby514ZQu5DkReyANo6P3H-0,https://www.google.com/maps/place/?q=place_id:ChIJby514ZQu5DkReyANo6P3H-0,part_331,2026-09-20 20:18:13,4699
Sirwani bazaar east Sikkim district Gangtok makha road,Wholesale Market / Mandi,Poultry farm,Poultry farm,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,3.5,6.0,"6FRM+G24, NH510, Sangkhola, Sikkim 737134",737133,27.241266099999997,88.4825671,ChIJ59LVrsyh5jkREf8jWLp1u9I,https://www.google.com/maps/place/?q=place_id:ChIJ59LVrsyh5jkREf8jWLp1u9I,part_331,2026-09-20 20:18:13,4700
Anand Vegetables Shop,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,1.0,"5GFH+QWP, RANGPO MANDI BAZAAR, Rangpo, Sikkim 737132",Lower Bazar,27.174457699999998,88.5298347,ChIJi2XW0Qah5jkRN5nrQw97KKs,https://www.google.com/maps/place/?q=place_id:ChIJi2XW0Qah5jkRN5nrQw97KKs,part_331,2026-09-20 20:18:13,4701
