business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Dr. Kesari ENT Clinic, Singtam",ENT Clinic,Doctor,Doctor,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 81161 69807,https://www.facebook.com/santoshkesari1234/,5.0,,"Life Line Clinic, New Market - Lal Market Rd, Singtam, Gangtok, Sikkim 737134",737133,27.232164299999997,88.49651759999999,ChIJPSegL3Wh5jkRiSLn2x4qBBY,https://www.google.com/maps/place/?q=place_id:ChIJPSegL3Wh5jkRiSLn2x4qBBY,part_331,2026-09-20 20:17:42,1528
Tadong ENT Clinic,ENT Clinic,ENT Specialist,ENT Specialist,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 81453 60076,N/A,4.9,,"police outpost, near dominos pizza, opposite Tadong, Gairi Gaon, M.P.Golai, Tadong, Gangtok, Sikkim 737102","Gairi Gaon, M.P.Golai, Tadong",27.314617799999997,88.60164739999999,ChIJ4R-7r76l5jkR7-J9eKloINQ,https://www.google.com/maps/place/?q=place_id:ChIJ4R-7r76l5jkR7-J9eKloINQ,part_331,2026-09-20 20:17:42,1529
Superspeciality ENT Clinic,ENT Clinic,Medical Center,Medical Center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,3.0,,"5998+3RH, bhanzyang Road, Namchi, Sikkim 737126",737133,27.167692499999998,88.36711869999999,ChIJJ6NyR5ad5jkREMVZSicTtVE,https://www.google.com/maps/place/?q=place_id:ChIJJ6NyR5ad5jkREMVZSicTtVE,part_331,2026-09-20 20:17:42,1530
Dr Shakuli's ENT Clinic,ENT Clinic,Otolaryngology clinic,Otolaryngology clinic,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98047 10277,N/A,4.2,,"Ram Chandra Mintri Rd, Kalimpong, West Bengal 734301",737133,27.0717121,88.4737966,ChIJ308Ir_gh5DkR5IVg5qKXWAY,https://www.google.com/maps/place/?q=place_id:ChIJ308Ir_gh5DkR5IVg5qKXWAY,part_331,2026-09-20 20:17:42,1531
ENT Clinic,ENT Clinic,Doctor,Doctor,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,3.7,,"8JP7+G6M, Devlopnent Area, Jeewan Theeng Marg, Gangtok, Sikkim 737101",Upper Sichey,27.3363488,88.61305019999999,ChIJnaHqOT-l5jkROddTO2_lIHA,https://www.google.com/maps/place/?q=place_id:ChIJnaHqOT-l5jkROddTO2_lIHA,part_331,2026-09-20 20:17:42,1532
"Dr (Prof) Mohonish N Chettri, (ENT Specialist)",ENT Clinic,ENT Specialist,"ENT Specialist, Medical clinic, Otolaryngology clinic",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 78669 98173,N/A,4.9,,"Level 4, 8H8X+C2R Prof & Head Department of ENT Central Referral Hospital, 5th Mile, Upper Tadong, Tadong, Gangtok, Sikkim 737102","Upper Tadong, Tadong",27.3164694,88.597562,ChIJ40XDWiOl5jkRDmqL2NWyRS4,https://www.google.com/maps/place/?q=place_id:ChIJ40XDWiOl5jkRDmqL2NWyRS4,part_331,2026-09-20 20:17:44,1533
Dr. (Prof.) Santosh Prasad Kesari,ENT Clinic,ENT Specialist,"ENT Specialist, General practitioner, Hearing aid store, Otolaryngology clinic",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 77977 37289,N/A,5.0,,"Rajeev Medical Store, 6th Mile, near Harka Maya College, Tadong, Gangtok, Sikkim 737102",Tadong,27.311573499999998,88.5887478,ChIJI8HN_c2l5jkRgZEzM88kYh8,https://www.google.com/maps/place/?q=place_id:ChIJI8HN_c2l5jkRgZEzM88kYh8,part_331,2026-09-20 20:17:44,1534
Fyafulo Ent.,ENT Clinic,Stationery store,Stationery store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,,"Indira Bypass Rd, Sungava, Gangtok, Sikkim 737101",Sungava,27.3373118,88.61080849999999,ChIJIe_1l9-l5jkRkEWyqc21oF4,https://www.google.com/maps/place/?q=place_id:ChIJIe_1l9-l5jkRkEWyqc21oF4,part_331,2026-09-20 20:17:44,1535
Dr DIWAKER BISTA ENT specialist,ENT Clinic,ENT Specialist,ENT Specialist,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97499 32413,N/A,4.9,,"C/o Magnus Multi Specilaity Hospital & Cardiac Centre Ward No.43, near Nirman Vidya Jyoti Sr. Sec. School, Ward 43, Upper Bhanu Nagar, Dasrath Pally, Siliguri, West Bengal 734001","Upper Bhanu Nagar, Dasrath Pally, Bhanu Nagar",26.734511899999998,88.42824399999999,ChIJjbPVAfNB5DkRo_NPQ83lz7g,https://www.google.com/maps/place/?q=place_id:ChIJjbPVAfNB5DkRo_NPQ83lz7g,part_331,2026-09-20 20:17:44,1536
Dr Mohonish N Chettri,ENT Clinic,Doctor,Doctor,737134,West Bengal Circle,North Bengal Region,Sikkim Division,"Singtam SO, Bardang BO, Bermiok BO",N/A,N/A,,,"Syari Rd, Gangtok, Sikkim 737102",737134,27.311359399999997,88.60820749999999,ChIJ2W11ZIOl5jkRRRsUDURt40Q,https://www.google.com/maps/place/?q=place_id:ChIJ2W11ZIOl5jkRRRsUDURt40Q,part_331,2026-09-20 20:18:25,5166
Dr. R. R. Prasad - Orthopedics,ENT Clinic,Doctor,Doctor,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 79081 14176,https://somaniwellness.com/pages/dr-r-r-prasad,1.7,7.0,"Somani Wellness, New Market, Mahatma Gandhi Marg, Gangtok, Sikkim 737101",Vishal Gaon,27.326633599999997,88.61205389999999,ChIJSQgdYhSl5jkRlUrJ7T89gJY,https://www.google.com/maps/place/?q=place_id:ChIJSQgdYhSl5jkRlUrJ7T89gJY,part_331,2026-09-20 20:19:06,6861
Dr Prasad Physician jayapal,ENT Clinic,Doctor,Doctor,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",N/A,N/A,1.0,1.0,"8JH6+6W9, Mahatma Gandhi Marg, Arithang, Gangtok, Sikkim 737101",Arithang,27.328025999999998,88.6123674,ChIJh8v_tryl5jkRne3XQZbRtMs,https://www.google.com/maps/place/?q=place_id:ChIJh8v_tryl5jkRne3XQZbRtMs,part_331,2026-09-20 20:19:06,6862
Shravan ENT CLINIC- Best Ent specialist| Ravet| Punawale| Tathawade| Kiwale| Dehu-road| Mamurdi| PCMC,ENT Clinic,Doctor,Doctor,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 93257 37827,https://shravanentclinicpune.com/,4.8,219.0,"Shop no. 10, Shantai Classic, near SB Patil School Road, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Ravet,18.653844499999998,73.7434718,ChIJJYvQPAu7wjsRrNsDEv_yRV4,https://www.google.com/maps/place/?q=place_id:ChIJJYvQPAu7wjsRrNsDEv_yRV4,part_331,2026-09-20 20:19:49,10653
Dr. Yogesh Patil ENT Ear Nose Throat Clinic डॉ योगेश पाटील कान नाक घसा क्लिनिक,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor, Otolaryngology clinic, Surgeon, Walk-in clinic",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 70389 40761,https://myinstaserve.com/view/AAYUENTCLINIC,4.9,430.0,"Deep Rachana Building, Main Moshi Chowk, Pune - Nashik Hwy, Moshi Gaon, Moshi, Pimpri-Chinchwad, Maharashtra 411070","Moshi Gaon, Moshi",18.6775086,73.85026429999999,ChIJM_iLYB_JwjsRWwkjNus2uYU,https://www.google.com/maps/place/?q=place_id:ChIJM_iLYB_JwjsRWwkjNus2uYU,part_331,2026-09-20 20:19:49,10654
Dr Nikhil's Ear Nose and Throat Clinic,ENT Clinic,ENT Specialist,ENT Specialist,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 84849 07694,N/A,4.8,682.0,"Swaraj Capital, Office No 420, Fourth Floor, Dehu - Alandi Rd, MIDC, Moshi, Pimpri-Chinchwad, Maharashtra 411070","MIDC, Moshi",18.6834213,73.8353166,ChIJ_7MZcr-3wjsRf3mTmhOPbwE,https://www.google.com/maps/place/?q=place_id:ChIJ_7MZcr-3wjsRf3mTmhOPbwE,part_331,2026-09-20 20:19:49,10655
Elite ENT Clinic - Wakad- Dr Abhijit Shirude,ENT Clinic,ENT Specialist,"ENT Specialist, Allergist, Endoscopist",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 88560 33221,https://drabhijits.drxpro.in/,4.6,595.0,"Office No 216 1st Floor , Wakad Road Corner Metropol complex,Aundh Wakad BRTS road, Datta Mandir Rd, opp. old maher Hosp End of, Maharashtra 411057","Mangal Nagar, Thergaon",18.613024199999998,73.76637509999999,ChIJKe45pHW5wjsRV1tDgfi-BVg,https://www.google.com/maps/place/?q=place_id:ChIJKe45pHW5wjsRV1tDgfi-BVg,part_331,2026-09-20 20:19:49,10656
SUSHRUT E.N.T. HOSPITAL & DR KHAN'S RESEARCH CENTRE,ENT Clinic,ENT Specialist,"ENT Specialist, Medical clinic, Hospital",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 70575 84579,http://www.drkhancreations.com/,4.7,352.0,"Talegaon Chakan Road, Talegaon Dabhade, opposite Parulekar High school, Pune, Maharashtra 410507","Anand Nagar, Manohar Nagar",18.7339242,73.6842247,ChIJB-JQGY6xwjsR9rlhn0MwG4A,https://www.google.com/maps/place/?q=place_id:ChIJB-JQGY6xwjsR9rlhn0MwG4A,part_331,2026-09-20 20:19:49,10657
NIRMALA ENT CLINIC |Ent specialist near me| ENT specialist Ravet | Kiwale | Punawale | Tathawade | Dehu road | Mamurdi PCMC|,ENT Clinic,ENT Specialist,ENT Specialist,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 92097 90602,N/A,4.9,233.0,"Shop no 39, Royal shell housing society, above Shagun jewellers and wellness pharmacy, Shivala Colony, Gurudwara Colony, Ravet, Pimpri-Chinchwad, Maharashtra 412101","Shivala Colony, Gurudwara Colony, Ravet",18.6445559,73.75743829999999,ChIJbSeTyeO5wjsR6CrhSGwCXtE,https://www.google.com/maps/place/?q=place_id:ChIJbSeTyeO5wjsR6CrhSGwCXtE,part_331,2026-09-20 20:19:49,10658
Dr Rupali Ekbote - Best ENT Specialist in Ravet | ENT Specialist Near Me | ENT Doctor in Ravet,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor, Otolaryngology clinic, Surgeon",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 79725 16512,http://www.drrupalimorentsolutions.in/,4.4,241.0,"Police Station, Shop No 8, ENT Solutions, Harmony Complex, Bridge View Rd, opposite Ravet, Walhekarwadi, Sector 32 A, Ravet, Pimpri-Chinchwad, Maharashtra 412101","Walhekarwadi, Sector 32 A, Ravet",18.6417155,73.7562684,ChIJkZJ-ibu5wjsRqlCeIVe2dKQ,https://www.google.com/maps/place/?q=place_id:ChIJkZJ-ibu5wjsRqlCeIVe2dKQ,part_331,2026-09-20 20:19:49,10659
APURVA ENT CLINIC,ENT Clinic,ENT Specialist,"ENT Specialist, Otolaryngology clinic",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 82964 91488,https://hplix.in/HPL40509,5.0,79.0,"Audumbar Vihar Building, behind Med plus medical shop, opposite Domino's pizza, Shridharnagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411033","Shridharnagar, Chinchwad",18.6301845,73.7877266,ChIJ2wEUmxW5wjsRgYDog7E_jZ0,https://www.google.com/maps/place/?q=place_id:ChIJ2wEUmxW5wjsRgYDog7E_jZ0,part_331,2026-09-20 20:19:49,10660
