business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manini Book Store,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98612 96386,N/A,4.0,,"CRP - DAV Rd, near Amrita Complex, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.283206,85.809444,ChIJf8SDGtUJGToRKIfJy63l4_E,https://www.google.com/maps/place/?q=place_id:ChIJf8SDGtUJGToRKIfJy63l4_E,part_337,2026-09-20 20:17:56
Old Book Stores,Bookstore and Stationery Shop,Book store,Book store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,4.2,,"BRIT Colony, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","BRIT Colony, Nilakantha Nagar, Nayapalli",20.2832376,85.80948529999999,ChIJr99sENUJGToR-RhhgOFgMD4,https://www.google.com/maps/place/?q=place_id:ChIJr99sENUJGToR-RhhgOFgMD4,part_337,2026-09-20 20:17:56
Tapaswini Book Store,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94395 40955,N/A,4.3,,"Plot No 610, Shop No 6, UCO Bank Building Sahid Nagar, Near BMC Bhawan, Bhubaneswar, Odisha 751007",Saheed Nagar,20.28771,85.845846,ChIJmy7E1P4JGToRnMtZDKf0HBE,https://www.google.com/maps/place/?q=place_id:ChIJmy7E1P4JGToRnMtZDKf0HBE,part_337,2026-09-20 20:17:56
Mega Book Store,Bookstore and Stationery Shop,Book store,Book store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 93385 51821,N/A,4.4,,"Delta Square, 361, Jagannath Temple, near Baramunda, IRC Village, Baramunda, Bhubaneswar, Odisha 751003","IRC Village, Baramunda",20.2752488,85.80141019999999,ChIJG0TTo4anGToRJQHnGJjVqs4,https://www.google.com/maps/place/?q=place_id:ChIJG0TTo4anGToRJQHnGJjVqs4,part_337,2026-09-20 20:17:56
Chandan Xerox And Cyber Cafe,Bookstore and Stationery Shop,Pen store,Pen store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94396 01022,N/A,4.3,,"LIG 101, BRIT Colony St, BRIT Colony, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","BRIT Colony, Nilakantha Nagar, Nayapalli",20.283102,85.8131075,ChIJOQIX3tUJGToRMuihSu5BE08,https://www.google.com/maps/place/?q=place_id:ChIJOQIX3tUJGToRMuihSu5BE08,part_337,2026-09-20 20:17:56
Unique Book Store,Bookstore and Stationery Shop,Book store,Book store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94374 75162,N/A,4.8,,"near Silk Srinity Hotel, Phase-II, Kanan Vihar, Patia, Bhubaneswar, Odisha 751024","Phase-II, Kanan Vihar, Patia",20.34232,85.826866,ChIJV7tX7AAJGToRyOTnu2b1bCI,https://www.google.com/maps/place/?q=place_id:ChIJV7tX7AAJGToRyOTnu2b1bCI,part_337,2026-09-20 20:17:56
Books N Books,Bookstore and Stationery Shop,Book store,Book store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 96921 36502,http://www.booksnbooks.in/,4.5,,"Rasulgarh Chowk Rd, Parida Colony, Rasulgarh, Bhubaneswar, Odisha 751010","Parida Colony, Rasulgarh",20.2951329,85.85839,ChIJtTC6IaoLGToRzIibt8HASfY,https://www.google.com/maps/place/?q=place_id:ChIJtTC6IaoLGToRzIibt8HASfY,part_337,2026-09-20 20:17:56
Mamali Book Store,Bookstore and Stationery Shop,Book store,Book store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98610 37432,N/A,4.3,,"7RV7+9GQ, Indradhanu Market, IRC Village, Nayapalli, Bhubaneswar, Odisha 751015","Indradhanu Market, IRC Village, Nayapalli",20.293461,85.813846,ChIJxZx4PM4JGToRAIug1iXEoy0,https://www.google.com/maps/place/?q=place_id:ChIJxZx4PM4JGToRAIug1iXEoy0,part_337,2026-09-20 20:17:56
Modern Book Depot,Bookstore and Stationery Shop,Book store,Book store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 94370 07179,N/A,4.7,,"A-4, Unit 7, Surya Nagar, Bhubaneswar, Odisha 751003","Unit 7, Surya Nagar",20.268501699999998,85.8158164,ChIJKzGJpgIKGToRJPas1vWwKzw,https://www.google.com/maps/place/?q=place_id:ChIJKzGJpgIKGToRJPas1vWwKzw,part_337,2026-09-20 20:17:56
Swarna Book Depot,Bookstore and Stationery Shop,Book store,Book store,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 99381 71340,N/A,4.1,,"101, Unit 8, Nayapalli, Bhubaneswar, Odisha 751012","Unit 8, Nayapalli",20.2781515,85.81433,ChIJebZJsX2nGToRPyspiS28xXU,https://www.google.com/maps/place/?q=place_id:ChIJebZJsX2nGToRPyspiS28xXU,part_337,2026-09-20 20:17:56
