business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kalinga Football Practice Ground,Sports Academy and Turf Ground,Playground,Playground,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,4.5,148.0,"7RRF+26H, Police Colony, Nuasahi, Nayapalli, Bhubaneswar, Odisha 751012","Police Colony, Nuasahi, Nayapalli",20.2889172,85.8221342,ChIJVfTDSgAJGToRgjogdBhxQPA,https://www.google.com/maps/place/?q=place_id:ChIJVfTDSgAJGToRgjogdBhxQPA,part_337,2026-09-20 20:17:56
Indira Maidan,Sports Academy and Turf Ground,Athletic field,Athletic field,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 90072 05671,N/A,4.3,348.0,"1288, Indira Maidan St, Nilakantha Nagar, Nayapalli, Bhubaneswar, Odisha 751012","Nilakantha Nagar, Nayapalli",20.2839767,85.81110199999999,ChIJ6Vi1TNQJGToRMV543YX10ms,https://www.google.com/maps/place/?q=place_id:ChIJ6Vi1TNQJGToRMV543YX10ms,part_337,2026-09-20 20:17:56
Oscar Sporting,Sports Academy and Turf Ground,Cricket club,Cricket club,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 98611 37678,N/A,4.2,200.0,"Unit 8, Surya Nagar Rd, Unit 7, Surya Nagar, Bhubaneswar, Odisha 751012","Unit 7, Surya Nagar",20.2715346,85.81269759999999,ChIJxzqyhXmnGToRW4m-Oy0nC-g,https://www.google.com/maps/place/?q=place_id:ChIJxzqyhXmnGToRW4m-Oy0nC-g,part_337,2026-09-20 20:17:56
Kalinga Stadium Main Entrance (Gate No. 3),Sports Academy and Turf Ground,Stadium,Stadium,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,4.7,482.0,"471, Bidyut Marg, Old Nayapalli Village, Kalinga Market, Old Nayapalli, Jayadev Vihar, Bhubaneswar, Odisha 751012","Old Nayapalli Village, Kalinga Market, Old Nayapalli, Jayadev Vihar",20.2878404,85.8260513,ChIJ-QLeuowJGToRb-9s3OiPJcs,https://www.google.com/maps/place/?q=place_id:ChIJ-QLeuowJGToRb-9s3OiPJcs,part_337,2026-09-20 20:17:56
Kalinga Stadium,Sports Academy and Turf Ground,Stadium,Stadium,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,https://sports.odisha.gov.in/,4.7,13566.0,"Bidyut Marg, Nuasahi, Nayapalli, Bhubaneswar, Odisha 751012","Nuasahi, Nayapalli",20.2879137,85.8238539,ChIJU5JuGtwJGToRW5huVNj-jAE,https://www.google.com/maps/place/?q=place_id:ChIJU5JuGtwJGToRW5huVNj-jAE,part_337,2026-09-20 20:17:56
GPS Turf and Sports,Sports Academy and Turf Ground,Playground,Playground,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,https://www.gpsturfandsports.com/,4.8,110.0,"Top Floor, KS Century Square, Murugan Kovil Rd, Devi Nagar, Jaganathapuram, Kundrathur, Chennai, Kunrattur, Tamil Nadu 600069","Devi Nagar, Jaganathapuram, Kundrathur",12.9959156,80.09592119999999,ChIJ_XTEgMyLUjoRduLX8h49O3k,https://www.google.com/maps/place/?q=place_id:ChIJ_XTEgMyLUjoRduLX8h49O3k,part_337,2026-09-20 20:17:56
NETAJI SPORTING CLUB Tennis ball,Sports Academy and Turf Ground,Cricket ground,Cricket ground,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,N/A,N/A,4.3,110.0,"7R9C+2QC, Unit 6, Ganga Nagar, Bhubaneswar, Odisha 751001","Unit 6, Ganga Nagar",20.267554699999998,85.8218754,ChIJz9VkPm-nGToRN8RizU5ePhI,https://www.google.com/maps/place/?q=place_id:ChIJz9VkPm-nGToRN8RizU5ePhI,part_337,2026-09-20 20:17:56
D & C Sports Turf,Sports Academy and Turf Ground,Sports complex,"Sports complex, Indoor playground, Playground",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 92350 33149,https://dandcsportstruf.digitalintouch.co.in/,4.8,,"Emaar Gomti Greens, F1/4, SECTOR F, Gomti Nagar, Lucknow, Uttar Pradesh 226002","SECTOR F, Gomti Nagar",26.8162716,81.0028632,ChIJ66vh-aLjmzkR46p_aZkdtRA,https://www.google.com/maps/place/?q=place_id:ChIJ66vh-aLjmzkR46p_aZkdtRA,part_337,2026-09-20 20:17:57
Tigers Arena - Sports & Dance Club,Sports Academy and Turf Ground,Sports club,"Sports club, Cricket club, Cricket ground, Dance club, Judo club, Judo school, Martial arts club, Soccer club, Sports school, Yoga studio",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 95692 02708,N/A,4.8,,"Type - B, Plot No. B - 2/1, Sector J, Jankipuram, Lucknow, Uttar Pradesh 226021","Sector J, Jankipuram",26.9223368,80.9670622,ChIJiRHSQnZXmTkRntMRaxgL-5A,https://www.google.com/maps/place/?q=place_id:ChIJiRHSQnZXmTkRntMRaxgL-5A,part_337,2026-09-20 20:17:57
AAURIX TURF,Sports Academy and Turf Ground,Soccer practice,"Soccer practice, Cricket ground, Playground",751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 90582 31100,https://aaurixturf.in/,5.0,,"Lane no.4, Veer Gabar Singh Marg, Bhagirathipuram, Banjarawala, Dehradun, Uttarakhand 248001","Bhagirathipuram, Banjarawala",30.285595299999997,78.0318009,ChIJ6z75FwApCTkRCZFObARhjfU,https://www.google.com/maps/place/?q=place_id:ChIJ6z75FwApCTkRCZFObARhjfU,part_337,2026-09-20 20:17:57
M.D.Shukla.Cricket Academy,Sports Academy and Turf Ground,Sports club,Sports club,751012,Odisha Circle,Bhubaneswar HQ Region,Bhubaneswar Division,Nayapalli S.O,+91 79912 42526,N/A,5.0,,"267/39, Water Works Rd, Khajuha, Kundari Rakabganj, Lucknow, Uttar Pradesh 226004","Khajuha, Kundari Rakabganj",26.850747,80.908908,ChIJSSBrPAD9mzkRJqaYHZB8szc,https://www.google.com/maps/place/?q=place_id:ChIJSSBrPAD9mzkRJqaYHZB8szc,part_337,2026-09-20 20:17:57
