business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Suma stroes,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,3.8,,"Unnamed Road, Jeliakhali Pashchim Khanda, West Bengal 743329",743446,22.332533899999998,88.8490685,ChIJtf5c4KD2AToRUd534SR2CUI,https://www.google.com/maps/place/?q=place_id:ChIJtf5c4KD2AToRUd534SR2CUI,part_336,2026-09-20 20:18:13,6710
রানু পাদুকালয়&মণ্ডল ওয়াস,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"Amtali bazer, West Bengal 743378",743446,22.2488879,88.8937538,ChIJs32oIWrzAToROvwbzmHvYxo,https://www.google.com/maps/place/?q=place_id:ChIJs32oIWrzAToROvwbzmHvYxo,part_336,2026-09-20 20:18:13,6711
NEW MONDAL STEEL FARNECTURE AND ELECTRONICS,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 97346 02188,N/A,5.0,,"Sarberia Dhamakhali Rd, Dhamakhali, Rampur, Sandeshkhali, West Bengal 743329",Dhamakhali,22.3565689,88.8753792,ChIJHQBlFbzxAToR6JJVZMfuMY0,https://www.google.com/maps/place/?q=place_id:ChIJHQBlFbzxAToR6JJVZMfuMY0,part_336,2026-09-20 20:18:13,6712
MONDAL TELECOM,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 81019 26325,N/A,,,"Gabberia +daudpur, Gabberia, Daudpur, West Bengal 743611",743446,22.275945999999998,88.83110219999999,ChIJK801apz1AToR53vldzdoae0,https://www.google.com/maps/place/?q=place_id:ChIJK801apz1AToR53vldzdoae0,part_336,2026-09-20 20:18:13,6713
Jeliakhali ferighat,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"9R5Q+M5, Jeliakhali Pashchim Khanda, West Bengal 743329",743446,22.3592948,88.8379873,ChIJ3dBwEQD3AToRMQATPVTGKEM,https://www.google.com/maps/place/?q=place_id:ChIJ3dBwEQD3AToRMQATPVTGKEM,part_336,2026-09-20 20:18:13,6714
KALPATARU COMPUTER POINT,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"Joygopalpur, West Bengal 743446",743446,22.2711434,88.9054982,ChIJ5c15PTjzAToRIAqQF3raFD0,https://www.google.com/maps/place/?q=place_id:ChIJ5c15PTjzAToRIAqQF3raFD0,part_336,2026-09-20 20:18:13,6715
সায়ন গারর্মেন্টস্ এন্ড বস্ত্রালয়,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"9VJJ+5PP, Bholakhali, West Bengal 743442",743446,22.3804718,88.8818333,ChIJT1-UfQDxAToR7xMG7BKHog4,https://www.google.com/maps/place/?q=place_id:ChIJT1-UfQDxAToR7xMG7BKHog4,part_336,2026-09-20 20:18:13,6716
বুম্বার ফোন বুথ,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"9WJ6+GP4, Unnamed Road, Bouthakurani, West Bengal 743446",743446,22.3812698,88.9118238,ChIJzefFSSTxAToRRmkQS09z7DU,https://www.google.com/maps/place/?q=place_id:ChIJzefFSSTxAToRRmkQS09z7DU,part_336,2026-09-20 20:18:13,6717
শ্রীগুরু বেডিং স্টিল ফার্নিচার এন্ড একুরিয়াম,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,1.0,,"7V9Q+VMJ, Korakati, West Bengal 743446",743446,22.2697149,88.8891496,ChIJr2u9N5HzAToRUKQkUTJjK1Q,https://www.google.com/maps/place/?q=place_id:ChIJr2u9N5HzAToRUKQkUTJjK1Q,part_336,2026-09-20 20:18:13,6718
Aholla Bhandar Manipur Bazzar,Commercial Complex,Shopping mall,Shopping mall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.0,,"7WJ6+Q2X, లాల్ బజార్ రోడ్డు, Manipur - Sirjam Station - Rangamatia Rd, West Bengal 743446",743446,22.2819982,88.9101029,ChIJ45yrj1jyAToRTS1v2qgipTU,https://www.google.com/maps/place/?q=place_id:ChIJ45yrj1jyAToRTS1v2qgipTU,part_336,2026-09-20 20:18:13,6719
