business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MISTI MUKH cake and ice cream shop,Patisserie,Cake shop,Cake shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 96417 21872,N/A,5.0,,"PWD inspection bungalow, Sandeshkhali, West Bengal 743446",743446,22.3541185,88.8813838,ChIJY7gHUI3xAToRYWxa066F25o,https://www.google.com/maps/place/?q=place_id:ChIJY7gHUI3xAToRYWxa066F25o,part_336,2026-09-20 20:17:30,419
CakeRmon,Patisserie,Cake shop,"Cake shop, Balloon store, Cake decorating equipment shop, Cupcake shop, Ice cream shop, Parking lot for motorcycles, Party store, Pastry shop, Pizza restaurant, Sandwich shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 97321 26204,http://www.cakermon.com/,4.9,,"Station Road, Debir more, Murihat, Hasnabad, West Bengal 743426","Debir more, Murihat",22.568569699999998,88.91128599999999,ChIJUa4kFwD9AToRD2OUef36te8,https://www.google.com/maps/place/?q=place_id:ChIJUa4kFwD9AToRD2OUef36te8,part_336,2026-09-20 20:17:30,420
Maya Fast-food And Cake Shop,Patisserie,Cake shop,"Cake shop, Ice cream shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 6295 601 596,N/A,4.6,,"Boat Ghat, Lebukhali, West Bengal 743439",743446,22.3655419,88.95629249999999,ChIJvaqYmrvvAToR0BuhtFk80nw,https://www.google.com/maps/place/?q=place_id:ChIJvaqYmrvvAToR0BuhtFk80nw,part_336,2026-09-20 20:17:30,421
Nath store's,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93829 95875,N/A,5.0,,"Dhuchnikhali, West Bengal 743446",743446,22.3076373,88.8869034,ChIJgbY8OQDzAToRrYyOo4Bztuk,https://www.google.com/maps/place/?q=place_id:ChIJgbY8OQDzAToRrYyOo4Bztuk,part_336,2026-09-20 20:17:30,422
Cake Point,Patisserie,Restaurant,Restaurant,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 84799 22037,N/A,5.0,,"Radharani High School, 9V4J 2Q7, Sandeshkhali Rd, nearby Sandeshkhali, Sandeshkhali, West Bengal 743446",743446,22.3550312,88.8819255,ChIJiWix-9LxAToR7uU9_ho3l88,https://www.google.com/maps/place/?q=place_id:ChIJiWix-9LxAToR7uU9_ho3l88,part_336,2026-09-20 20:17:30,423
Abdull rajjak molla,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"8VPG+VP8, Sandeshkhali, Bhangatushkhali, West Bengal 743329",743446,22.3371711,88.87683969999999,ChIJsQc3TwD3AToRgtRJhnkB5wA,https://www.google.com/maps/place/?q=place_id:ChIJsQc3TwD3AToRgtRJhnkB5wA,part_336,2026-09-20 20:17:30,424
মা মনসা ভান্ডার (kinkar),Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"6XXC+MV, Jogesganj, West Bengal 743439",743446,22.249235499999998,88.9721191,ChIJ-3Ub7QrtAToRJwDfK8heR3Y,https://www.google.com/maps/place/?q=place_id:ChIJ-3Ub7QrtAToRJwDfK8heR3Y,part_336,2026-09-20 20:17:30,425
J S Cakes,Patisserie,Cake shop,Cake shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98005 52425,N/A,5.0,,"Banibithi high school, to Natunhat road, near Banibithi high school, Patghara, West Bengal 743439",743446,22.282771099999998,88.9774108,ChIJSTcrRkvtAToRURjyTI48Uhc,https://www.google.com/maps/place/?q=place_id:ChIJSTcrRkvtAToRURjyTI48Uhc,part_336,2026-09-20 20:17:30,426
Dipali Sardar,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 62977 35970,N/A,5.0,,"Dipali Sardar, Mitrapur, West Bengal 743611",743446,22.2649935,88.80308289999999,ChIJ0XpgK-D1AToRoQ5v_Aocms0,https://www.google.com/maps/place/?q=place_id:ChIJ0XpgK-D1AToRoQ5v_Aocms0,part_336,2026-09-20 20:17:30,427
Cake shop 🎂,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"7RQP+9HH, Daudpur, West Bengal 743611",743446,22.2879298,88.83645399999999,ChIJNYKhFAD1AToRsYMqOZbKiPc,https://www.google.com/maps/place/?q=place_id:ChIJNYKhFAD1AToRsYMqOZbKiPc,part_336,2026-09-20 20:17:30,428
