business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Subham Gym and Fitness,Fitness Chains,Gym,Gym,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 82403 60274,N/A,5.0,,"WFFG+3JV, Nagdaha, West Bengal 743193",743446,22.9229429,88.47608149999999,ChIJbeXoXJOV-DkRyd5V2_hgM4c,https://www.google.com/maps/place/?q=place_id:ChIJbeXoXJOV-DkRyd5V2_hgM4c,part_336,2026-09-20 20:17:42,2368
Spark Fitness | WEIGHT LOSS SPECIALIST | Premium Gym Ichapore Shyamnagar,Fitness Chains,Fitness center,Fitness center,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 91430 55332,N/A,4.9,,"78, Ghosh Para Rd, Shyamnagar, Ichhapur Defence Estate, West Bengal 743133",Shyamnagar,22.8145392,88.3739461,ChIJuRXtFkqR-DkR-4eakCDjp4U,https://www.google.com/maps/place/?q=place_id:ChIJuRXtFkqR-DkR-4eakCDjp4U,part_336,2026-09-20 20:17:42,2369
Global fitness,Fitness Chains,Health spa,Health spa,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70594 82120,N/A,5.0,,"Sondla Tank, Pincol more, road, Garulia, West Bengal 743133",Garulia,22.8182598,88.3754551,ChIJZ8oq8ueb-DkRca8WXlNt3TU,https://www.google.com/maps/place/?q=place_id:ChIJZ8oq8ueb-DkRca8WXlNt3TU,part_336,2026-09-20 20:17:42,2370
ONESTEP FITNESS ASHOKNAGAR,Fitness Chains,Gym,Gym,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 78119 77177,N/A,4.9,,"2nd Floor, Sai Complex, 790/A/1, Jirat Rd, Chowrangee, ChowrangeeMore, Ashoknagar, Ashoknagar Kalyangarh, West Bengal 743222","Chowrangee, ChowrangeeMore",22.837446399999997,88.6192217,ChIJYyW1O3C7-DkRoftirkx6CXU,https://www.google.com/maps/place/?q=place_id:ChIJYyW1O3C7-DkRoftirkx6CXU,part_336,2026-09-20 20:17:42,2371
E-ONE GYM,Fitness Chains,Gym,Gym,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.9,,"V97R+6PH BL, 14, Arya Samaj Rd, Kankinara, Jagatdal, Bhatpara, West Bengal 743194","Kankinara, Jagatdal",22.8630606,88.3918376,ChIJXf0LdQCR-DkRXTYxeP_2TqU,https://www.google.com/maps/place/?q=place_id:ChIJXf0LdQCR-DkRXTYxeP_2TqU,part_336,2026-09-20 20:17:42,2372
OXYGYM Dakshin Barasat,Fitness Chains,Gym,Gym,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 96142 46863,N/A,4.7,,"6C8R+8X7, SH 1, Dakshin Barasat - Dhosa Rd, Jorapol Panchanantala, Kalikapur Barasat, Dakshin Barasat, West Bengal 743372",Jorapol Panchanantala,22.2158133,88.4424142,ChIJn-9GLABBAjoRjxhCpv_3i9k,https://www.google.com/maps/place/?q=place_id:ChIJn-9GLABBAjoRjxhCpv_3i9k,part_336,2026-09-20 20:17:42,2373
The Deep Horizon Gym,Fitness Chains,Gym,"Gym, Fitness center, Weightlifting area",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70033 16819,N/A,4.9,,"29, Tagore Temple Rd, Kalibari, Shyamnagar, Kolkata, Bhatpara, West Bengal 743127","Kalibari, Shyamnagar",22.8286432,88.3781632,ChIJY01m7UeR-DkRJcZCoMQBQZA,https://www.google.com/maps/place/?q=place_id:ChIJY01m7UeR-DkRJcZCoMQBQZA,part_336,2026-09-20 20:17:42,2374
Green Park Multi Gym,Fitness Chains,Gym,Gym,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98368 55446,N/A,4.1,,"Ichhapur Defence Estate, West Bengal 743144",743446,22.8112002,88.3706926,ChIJ2XFS_YSQ-DkRRJLKgH0sG9k,https://www.google.com/maps/place/?q=place_id:ChIJ2XFS_YSQ-DkRRJLKgH0sG9k,part_336,2026-09-20 20:17:42,2375
FlameBox Fitness Studio,Fitness Chains,Gym,Gym,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93303 48280,https://flameboxfitnessstudio.com/,4.7,,"Rural Hospital, Diamond Harbour Rd, beside Amtala, Amtala, West Bengal 743503",Amtala,22.365288099999997,88.2717646,ChIJvxTg3M5lAjoRlR4tAOK5Dxs,https://www.google.com/maps/place/?q=place_id:ChIJvxTg3M5lAjoRlR4tAOK5Dxs,part_336,2026-09-20 20:17:42,2376
LET'S GO GYM,Fitness Chains,Gym,Gym,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 78902 31121,N/A,4.7,,"3-4/1/384, E Kapte Para Rd, near BIDHAN CHANDRA PRIMARY SCHOOL, NATUN GRAM, SATIN SEN NAGAR, Shyamnagar, Bhatpara, West Bengal 743127","NATUN GRAM, SATIN SEN NAGAR, Shyamnagar",22.8376318,88.3967239,ChIJM3dP9rKR-DkRu9-pNwwTtwA,https://www.google.com/maps/place/?q=place_id:ChIJM3dP9rKR-DkRu9-pNwwTtwA,part_336,2026-09-20 20:17:42,2377
