business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MOBILE FIX SELL& SERVICE CENTER,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 74780 43610,N/A,4.9,,"NA Basirhat To Malancha Road, Bazar, RN Mukherjee Rd, near Super Market, Basirhat, West Bengal 743412",743446,22.6602754,88.85776039999999,ChIJGUwWxs9V_zkRYVEHoxCrWkw,https://www.google.com/maps/place/?q=place_id:ChIJGUwWxs9V_zkRYVEHoxCrWkw,part_336,2026-09-20 20:18:02,5280
Das Mobile & Electronics,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Cell phone store, Electronics repair shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"Chakbaria, Kalikapur, West Bengal 743330",Chakbaria,22.4249337,88.4962884,ChIJgW7NlbMNAjoRs50CXubgMZA,https://www.google.com/maps/place/?q=place_id:ChIJgW7NlbMNAjoRs50CXubgMZA,part_336,2026-09-20 20:18:02,5281
KIRAN MOBILE CENTRE,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Electronics Accessories Wholesaler",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98368 38152,N/A,4.3,,"Purba Auto Stand, Magrahat-II, Kolkata, West Bengal 743355",743446,22.2392421,88.3726934,ChIJ096CgNppAjoRpI6Tm6ApQOQ,https://www.google.com/maps/place/?q=place_id:ChIJ096CgNppAjoRpI6Tm6ApQOQ,part_336,2026-09-20 20:18:02,5282
MONDAL TELECOM,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Electronics store",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 97326 92419,http://mondaltelecomjayanta.com/?utm_source=gmb&utm_medium=referral,4.5,,"Taki Rd, Berachampa, Basirhat, West Bengal 743424",743446,22.6941187,88.6838416,ChIJy6FEDjup-DkR9frFUj2Zk9I,https://www.google.com/maps/place/?q=place_id:ChIJy6FEDjup-DkR9frFUj2Zk9I,part_336,2026-09-20 20:18:02,5283
The Mobile Club,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"25, Tentulia Rd, Maslandapur, Sadpur, West Bengal 743289",Maslandapur,22.855427799999998,88.7466481,ChIJ3WqoLwCz-DkR_QVTnfqTcMI,https://www.google.com/maps/place/?q=place_id:ChIJ3WqoLwCz-DkR_QVTnfqTcMI,part_336,2026-09-20 20:18:02,5284
KABITA MOBILE STORES,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 99325 57023,https://kabita-mobile-stores.grexa.site/,4.9,,"Bazar, Arshikari Road, opp. Panchayat Office, Bithari, West Bengal 743273",743446,22.854155199999997,88.9303462,ChIJD-K6Zp1P_zkRUo_E7Ep3JwY,https://www.google.com/maps/place/?q=place_id:ChIJD-K6Zp1P_zkRUo_E7Ep3JwY,part_336,2026-09-20 20:18:02,5285
New Aich Telecom,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93325 13554,N/A,4.4,,"Station road,Maslandapur,, Maslandapur - Basirhat Rd, Maslandapur, kolkata, West Bengal 743289",Maslandapur,22.8561773,88.74403869999999,ChIJ4xzph6yz-DkRxxFvHpxe4K4,https://www.google.com/maps/place/?q=place_id:ChIJ4xzph6yz-DkRxxFvHpxe4K4,part_336,2026-09-20 20:18:02,5286
MOBILE CORNER,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 62907 14373,N/A,4.8,,"108, W Ghosh Para Rd, Authpur, Shyamnagar, Bhatpara, West Bengal 743128","Authpur, Shyamnagar",22.842613999999998,88.3816871,ChIJzeyAWQWR-DkRv4kbI2R17vU,https://www.google.com/maps/place/?q=place_id:ChIJzeyAWQWR-DkRv4kbI2R17vU,part_336,2026-09-20 20:18:02,5287
SHYAMAL MOBILE,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 82740 04877,N/A,4.9,,"280, Feeder Rd, Ganguli Para, Shyamnagar, Garshyamnagar, West Bengal 743127","Ganguli Para, Shyamnagar",22.8246836,88.38249019999999,ChIJVWCRsLSR-DkRWuBmEajeO-c,https://www.google.com/maps/place/?q=place_id:ChIJVWCRsLSR-DkRWuBmEajeO-c,part_336,2026-09-20 20:18:02,5288
SKB TRADERS a complete mobile shop,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 97341 24125,N/A,4.9,,"6PQ4+R59 More, Aranghata - Duttaphulia Rd, opp. Boys School, Duttapulia, West Bengal 741504",743446,23.2396358,88.7055797,ChIJMVWgI4DR-DkRfyfaC4p1n-8,https://www.google.com/maps/place/?q=place_id:ChIJMVWgI4DR-DkRfyfaC4p1n-8,part_336,2026-09-20 20:18:02,5289
