business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Riddhi Siddhi CDA Kalyan Mandap & Banquet,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 90903 93931,N/A,4.6,,"CDA Market Complex, Infront Of Green Trends 1, Phase 2, Mahanadi Vihar, Kataka, Odisha 753004","Phase 2, Mahanadi Vihar",20.4634039,85.91329689999999,ChIJb6w3oeUNGToR7GVjzsgaKlM,https://www.google.com/maps/place/?q=place_id:ChIJb6w3oeUNGToR7GVjzsgaKlM,part_340,2026-09-20 20:17:52
Indraprasth Royal,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Event venue, Wedding venue",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 82490 53671,https://indraprasthroyal.com/,4.9,,"Sriram Market, 42 Mouza, Kataka, Dadhibamanpur, Odisha 754112","Sriram Market, 42 Mouza",20.4155025,85.9220854,ChIJTzBBzzwNGToRqxUlkCkWRxQ,https://www.google.com/maps/place/?q=place_id:ChIJTzBBzzwNGToRqxUlkCkWRxQ,part_340,2026-09-20 20:17:52
Bhima Gardens,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 79787 54229,N/A,4.9,,"College Square, Ice Factory Road, LIC Colony, Kataka, Odisha 753003",LIC Colony,20.467697599999997,85.8960719,ChIJW7ADaYQNGToRiZIFUxrEPhU,https://www.google.com/maps/place/?q=place_id:ChIJW7ADaYQNGToRiZIFUxrEPhU,part_340,2026-09-20 20:17:52
YASHODA GARDEN,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,N/A,N/A,4.6,,"42 Mouza, Jhinkiria, Odisha 754112",Sri Krishna Vihar,20.4240909,85.9123438,ChIJh3jwktMNGToRu_0q2CVUZLI,https://www.google.com/maps/place/?q=place_id:ChIJh3jwktMNGToRu_0q2CVUZLI,part_340,2026-09-20 20:17:52
Jagulai Mandap,Marriage Hall / Kalyana Mandapam,Marriage celebrant,Marriage celebrant,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 94381 24803,N/A,4.1,,"Balisahi, Government Press Employee Quarters, Kataka, Odisha 753010","Balisahi, Government Press Employee Quarters",20.4390003,85.91183079999999,ChIJEe1TD5QNGToR7D4IjD5XqcU,https://www.google.com/maps/place/?q=place_id:ChIJEe1TD5QNGToR7D4IjD5XqcU,part_340,2026-09-20 20:17:52
Haramani Mandap,Marriage Hall / Kalyana Mandapam,Convention center,Convention center,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 94381 26288,N/A,4.2,,"Nadikulasahi,sikharpur, Mahanadi Vihar - Nayabazar Rd, Kaliaboda, Kataka, Odisha 753004","Mahanadi Vihar, Kaliaboda",20.468166699999998,85.9132628,ChIJi9EroYYNGToR2WuQ7Qvw7l8,https://www.google.com/maps/place/?q=place_id:ChIJi9EroYYNGToR2WuQ7Qvw7l8,part_340,2026-09-20 20:17:52
Gobind Mandap,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,N/A,N/A,3.7,,"Silicon Nusring Home, Kalyani Nagar Rd, Kalyani Nagar, Rajendra Nagar, Kataka, Odisha 753013","Kalyani Nagar, Rajendra Nagar",20.452047999999998,85.90149199999999,ChIJY2NYDm0NGToRwiKsmevExMs,https://www.google.com/maps/place/?q=place_id:ChIJY2NYDm0NGToRwiKsmevExMs,part_340,2026-09-20 20:17:52
Raisina,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Banquet hall",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 98610 10656,N/A,4.2,,"437 Doctor, Dr Tonpe Rd, CDA Sector-9, Kataka, Odisha 753014",CDA Sector-9,20.4791729,85.82662789999999,ChIJUcULv90RGToR7j2jYzpwRsA,https://www.google.com/maps/place/?q=place_id:ChIJUcULv90RGToR7j2jYzpwRsA,part_340,2026-09-20 20:17:52
"Divine Palace, Kataka",Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Children's party service, Club, Conference center, Event venue",754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 94381 61914,N/A,4.5,,"near Krishnamurthy School Jaripada, pratapnagari, Urali, Odisha 753011",754034,20.4001614,85.8957291,ChIJ1cclseUNGToRgC8xWsHMJMI,https://www.google.com/maps/place/?q=place_id:ChIJ1cclseUNGToRgC8xWsHMJMI,part_340,2026-09-20 20:17:52
Rabindra Mandap,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,754034,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,Maniabandha S.O,+91 99370 54424,N/A,4.1,,"FRPQ+C2Q, Main Ln, Kumbharasahi, Bidanasi, Kataka, Odisha 753014","Kumbharasahi, Bidanasi",20.485563499999998,85.8379143,ChIJHXpY3O8RGToRfF7ZXzkOTbs,https://www.google.com/maps/place/?q=place_id:ChIJHXpY3O8RGToRfF7ZXzkOTbs,part_340,2026-09-20 20:17:52
