business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Laskar rice mill pvt ltd,Rice Mill and Agro Processing,Manufacturer,Manufacturer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,4.3,3.0,"CJW2+FQC, Bodra, Dakshin Narikel Beria, West Bengal 743502",Bodra,22.4461992,88.6018872,ChIJgwfHYQAPAjoRmrqD4LQTO7w,https://www.google.com/maps/place/?q=place_id:ChIJgwfHYQAPAjoRmrqD4LQTO7w,part_335,2026-09-20 20:18:07,6017
Pir Gorachand Food Processing Pvt.Ltd,Rice Mill and Agro Processing,Rice mill,Rice mill,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,4.2,6.0,"FJP5+HHC, Ghatakpukur Rd, Jagulgachi, Bhangar, West Bengal 743502",Jagulgachi,22.486427199999998,88.60888539999999,ChIJC9nLcREPAjoRPEJG383oPoA,https://www.google.com/maps/place/?q=place_id:ChIJC9nLcREPAjoRPEJG383oPoA,part_335,2026-09-20 20:18:07,6018
Kamalpur Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,3.0,2.0,"9FVW+8FV, Champahati, Sahebpur, West Bengal 743330",Champahati,22.3933613,88.49617959999999,ChIJ__WvL3MTAjoRDD2MVY8lrag,https://www.google.com/maps/place/?q=place_id:ChIJ__WvL3MTAjoRDD2MVY8lrag,part_335,2026-09-20 20:18:07,6019
KNG RICE MILL,Rice Mill and Agro Processing,Manufacturer,Manufacturer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,,,"CGMP+9GQ, Sangur, West Bengal 743330",743330,22.4329452,88.5364081,ChIJlzfKBwANAjoRsukbsfUikAc,https://www.google.com/maps/place/?q=place_id:ChIJlzfKBwANAjoRsukbsfUikAc,part_335,2026-09-20 20:18:07,6020
Kalyanpur Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 92315 08307,N/A,4.9,7.0,"Dakshin Kalyanpur, Baruipur, West Bengal 743610",Dakshin Kalyanpur,22.3548501,88.4214782,ChIJ8TTI5jVtAjoR8D9Wes8PekI,https://www.google.com/maps/place/?q=place_id:ChIJ8TTI5jVtAjoR8D9Wes8PekI,part_335,2026-09-20 20:18:07,6021
BHUMI LAKSHMI AGRO PRODUCTS PVT LTD,Rice Mill and Agro Processing,Rice mill,Rice mill,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,http://www.suvadrarice.com/,4.8,16.0,"IRKONA, GALSI, West Bengal 713428",IRKONA,23.328722,87.668257,ChIJN3Duokct-DkRQVnLFytPD7E,https://www.google.com/maps/place/?q=place_id:ChIJN3Duokct-DkRQVnLFytPD7E,part_335,2026-09-20 20:18:07,6022
Brindaban Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,3.9,15.0,"C7HC+78M, Naurbad, Kolkata, West Bengal 700104",Naurbad,22.428210699999998,88.27079289999999,ChIJf9jKLzF7AjoRO4N2FGma1MQ,https://www.google.com/maps/place/?q=place_id:ChIJf9jKLzF7AjoRO4N2FGma1MQ,part_335,2026-09-20 20:18:07,6023
Chanditala Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 33 2403 3585,N/A,3.7,3.0,"18/14, Chandi Tala Main Road, New Alipore, Chandi Tala Main Road, Kolkata, West Bengal 700053","Ekanna Pally, Behala",22.4982296,88.3331448,ChIJUdz3qKRwAjoRXuTVD05Q394,https://www.google.com/maps/place/?q=place_id:ChIJUdz3qKRwAjoRXuTVD05Q394,part_335,2026-09-20 20:18:07,6024
BARDHAMAN AGRO PRODUCTS (I) PRIVATE LIMITED,Rice Mill and Agro Processing,Manufacturer,"Manufacturer, Rice mill",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90462 47878,https://www.bardhamanagroproducts.com/,4.1,32.0,"Ahaladipur, P.O, Nandal, West Bengal 713424",743330,23.1293719,87.8486221,ChIJkThXin04-DkRdAmxnNkDVOw,https://www.google.com/maps/place/?q=place_id:ChIJkThXin04-DkRdAmxnNkDVOw,part_335,2026-09-20 20:18:07,6025
S.J.S. Agro Industries,Rice Mill and Agro Processing,Rice mill,Rice mill,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://www.sahibabarice.com/,4.1,16.0,"9HRC+CG3, Nurkona, West Bengal 713403",743330,23.3910141,87.57131,ChIJxb-mTmTV-TkRKL8Zaune8Vs,https://www.google.com/maps/place/?q=place_id:ChIJxb-mTmTV-TkRKL8Zaune8Vs,part_335,2026-09-20 20:18:07,6026
