business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Baadshaho Bikers point,Two Wheeler Showroom and Dealer,Used motorcycle dealer,Used motorcycle dealer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98837 83628,N/A,4.5,,"Netaji Subhas Rd, Champahati, Solgohalia, West Bengal 743330",Champahati,22.393794,88.5003326,ChIJJ_GGCW8TAjoRztRFqSwXszY,https://www.google.com/maps/place/?q=place_id:ChIJJ_GGCW8TAjoRztRFqSwXszY,part_335,2026-09-20 20:17:43,2531
LOKNATH E AUTOMOBILE,Two Wheeler Showroom and Dealer,Motorcycle shop,"Motorcycle shop, Car rental agency, Two Wheeler Dealer",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98308 13796,N/A,4.2,,"Champahati - Ghatakpukur Rd, Champahati, Sahebpur, West Bengal 743330",Champahati,22.412943,88.498344,ChIJYd2ugpQTAjoRDfCjs0GFsyk,https://www.google.com/maps/place/?q=place_id:ChIJYd2ugpQTAjoRDfCjs0GFsyk,part_335,2026-09-20 20:17:43,2532
TOP GEAR (BIKE SHOWROOM),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90025 23708,N/A,5.0,,"Hospital Road, Ghutiari Sharif - Hwy 3, Banshra, West Bengal 743363",743330,22.371189299999998,88.5473626,ChIJjV58eQATAjoRMRr6xmYFQu0,https://www.google.com/maps/place/?q=place_id:ChIJjV58eQATAjoRMRr6xmYFQu0,part_335,2026-09-20 20:17:43,2533
SPEED ZONE,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 6295 972 098,N/A,4.9,,"Champahati tematha road, Champahati, Sahebpur, West Bengal 743330",743330,22.4133878,88.4988134,ChIJs5Y2HE8TAjoRrgj5VKO1rF4,https://www.google.com/maps/place/?q=place_id:ChIJs5Y2HE8TAjoRrgj5VKO1rF4,part_335,2026-09-20 20:17:43,2534
Pratik Automobiles Yamaha Bike Corner,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 86704 15246,N/A,3.3,,"Raipur Road, Kalikapur, West Bengal 743330",743330,22.4145975,88.4994875,ChIJRQJMlR4TAjoRMLxQ67l1_no,https://www.google.com/maps/place/?q=place_id:ChIJRQJMlR4TAjoRMLxQ67l1_no,part_335,2026-09-20 20:17:43,2535
Mondal Automobiles,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,3.9,,"GG5Q+4CJ, Bantala, Bhojerhat, Krolbaria, West Bengal 743502",Bantala,22.5078387,88.53851019999999,ChIJDQ_CFQ0MAjoR6ZiK2H3yq-E,https://www.google.com/maps/place/?q=place_id:ChIJDQ_CFQ0MAjoR6ZiK2H3yq-E,part_335,2026-09-20 20:17:43,2536
Radhika Motors,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98832 06830,N/A,4.7,,"8FV3+886, Baruipur P, West Bengal 743387",743330,22.3432992,88.4532516,ChIJ9fyf5lptAjoRhhbfgkbQ60c,https://www.google.com/maps/place/?q=place_id:ChIJ9fyf5lptAjoRhhbfgkbQ60c,part_335,2026-09-20 20:17:43,2537
Srikrishna Hero,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Two Wheeler Repair Shop, Motorcycle shop",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 92899 22725,https://dealers.heromotocorp.com/srikrishna-automobiles-hero-motocorp-two-wheeler-dealer-jogibattala-baruipur-25242/Contact-Us,4.2,,"Baruipur, Jogibattala, Khasmallik, West Bengal 700145",Jogibattala,22.3756737,88.4241904,ChIJf6vk7LRtAjoRGqdPIOEmVV0,https://www.google.com/maps/place/?q=place_id:ChIJf6vk7LRtAjoRGqdPIOEmVV0,part_335,2026-09-20 20:17:43,2538
Sundaram Automobiles,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 79080 01452,N/A,4.0,,"Sahebpur, Near Rathmath Champahati Ghatakpukur Road, PO, Champahati, PS- Sonarpur, West Bengal 743330","Champahati, PS- Sonarpur",22.412888799999998,88.4982737,ChIJkTfkyn8TAjoRgP2IFe_A_sg,https://www.google.com/maps/place/?q=place_id:ChIJkTfkyn8TAjoRgP2IFe_A_sg,part_335,2026-09-20 20:17:43,2539
Akash Automobiles (Bhojerhat),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98305 42433,N/A,4.6,,"Bantala, Bhojerhat, Krolbaria, West Bengal 743502",Bantala,22.507811699999998,88.5384828,ChIJIXcb15UNAjoRqfxl5K6HTMg,https://www.google.com/maps/place/?q=place_id:ChIJIXcb15UNAjoRqfxl5K6HTMg,part_335,2026-09-20 20:17:43,2540
