business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa jhadamali mill,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.0,,"2VHJ+WVW, Balanga, Odisha 752105",752114,20.0302184,85.88255269999999,ChIJJW53y3i9GToR693EmaXnI_Y,https://www.google.com/maps/place/?q=place_id:ChIJJW53y3i9GToR693EmaXnI_Y,part_339,2026-09-20 20:17:32
Matru Shakti Dry Food,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,,"Nankar Rd, Jagatpur Industrial Estate, Jagatpur, Kataka, Odisha 754021",Jagatpur Industrial Estate,20.5009349,85.9244865,ChIJP2YIu-0TGToRrpfqcDEJ5Vc,https://www.google.com/maps/place/?q=place_id:ChIJP2YIu-0TGToRrpfqcDEJ5Vc,part_339,2026-09-20 20:17:32
Sri Lalbaba Roller Flour Mill,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.2,,"CWW7+XJ5, Old Jagannatha Rd, Nuasahi, Nuapada, Srikhetra Nagar, Kataka, Odisha 753004","Nuasahi, Nuapada, Srikhetra Nagar",20.4473844,85.9141109,ChIJ--GoGD8NGToRC4JZBFRfTug,https://www.google.com/maps/place/?q=place_id:ChIJ--GoGD8NGToRC4JZBFRfTug,part_339,2026-09-20 20:17:32
Sri Jagannath Roller Flour Mills,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 6755 296 060,N/A,3.9,,"Barunei Temple Rd, Jagannathpur, Khordha, Odisha 752057",Jagannathpur,20.1677975,85.6384406,ChIJSSE-zYisGToR_rSZLHQFqTQ,https://www.google.com/maps/place/?q=place_id:ChIJSSE-zYisGToR_rSZLHQFqTQ,part_339,2026-09-20 20:17:32
Great Eastern udyog Pvt.ltd.,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,4.1,,"GXXM+FF7, Chennai - Kolkata Hwy, Kairapari, Odisha 754025",752114,20.5486613,85.9836636,ChIJaWEYMsttGToRuQVof7C9FhE,https://www.google.com/maps/place/?q=place_id:ChIJaWEYMsttGToRuQVof7C9FhE,part_339,2026-09-20 20:17:32
Flour. Mill,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,,,"4W6F+M45, Raid Bazar, Odisha 752114",752114,20.111646999999998,85.92285249999999,ChIJWdrBefujGToRHQ2RWc6Sg9s,https://www.google.com/maps/place/?q=place_id:ChIJWdrBefujGToRHQ2RWc6Sg9s,part_339,2026-09-20 20:17:32
"Rice , flour Mill",Flour Mill,Rice mill,Rice mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,,,"2WV3+QR7, Satasankha-Balanga-Nimapada Rd, Resinga, Dandipur, Odisha 752105",752114,20.044402899999998,85.9045582,ChIJSwaKu4u9GToRz07bvmSCf7E,https://www.google.com/maps/place/?q=place_id:ChIJSwaKu4u9GToRz07bvmSCf7E,part_339,2026-09-20 20:17:32
SARIF'S MILLING,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,,"4VFF+7W3, Daradada, Odisha 752104",752114,20.1231291,85.87480529999999,ChIJq2rNFuejGToR7Gz5fbm5sa8,https://www.google.com/maps/place/?q=place_id:ChIJq2rNFuejGToR7Gz5fbm5sa8,part_339,2026-09-20 20:17:32
Flour rice dal mill,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,,,"2VHJ+WW8, Balanga, Odisha 752105",752114,20.0297888,85.88234,ChIJyaZsLLO9GToR_4IIJuWlT8I,https://www.google.com/maps/place/?q=place_id:ChIJyaZsLLO9GToR_4IIJuWlT8I,part_339,2026-09-20 20:17:32
Maa Beleswary Roller Flour Mill,Flour Mill,Flour mill,Flour mill,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,,"3Q52+VRQ, Delang Rd, Ramachandrapur, Odisha 752015",752114,20.0597048,85.7520972,ChIJr9ImxXCxGToRndQcniwvndo,https://www.google.com/maps/place/?q=place_id:ChIJr9ImxXCxGToRndQcniwvndo,part_339,2026-09-20 20:17:32
