business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PURI STEEL FABRICATION,Steel Fabrication Workshop,Steel Fabrication Workshop,Steel Fabrication Workshop,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,1.0,"RR4R+VQJ, Ram Mandir Rd, Puri, Odisha 752002",752114,19.8072221,85.8418971,ChIJB2V2xKnGGToRFomr9Lnr8Yc,https://www.google.com/maps/place/?q=place_id:ChIJB2V2xKnGGToRFomr9Lnr8Yc,part_339,2026-09-20 20:18:02
M&B welding work shop,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,10.0,"Sree Durga Colony, Krishnanagar, West Bengal 741101",Sree Durga Colony,23.400820799999998,88.4848086,ChIJ_9EHOAAh-TkRFyJ5R-gucfY,https://www.google.com/maps/place/?q=place_id:ChIJ_9EHOAAh-TkRFyJ5R-gucfY,part_339,2026-09-20 20:18:02
A-s fabrication welding work l fabrication work in Telangana,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Fabrication Engineer",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 93812 89311,https://asfabricationsworks.in/,4.9,235.0,"19-145/b, asaf Village, Venkatapuram, Alwal, Secunderabad, Telangana 500015","Venkatapuram, Alwal",17.496492,78.506807,ChIJST4bXOqbyzsR8wsYiL0aCWs,https://www.google.com/maps/place/?q=place_id:ChIJST4bXOqbyzsR8wsYiL0aCWs,part_339,2026-09-20 20:18:02
A.s fabrication welding work,Steel Fabrication Workshop,Welder,"Welder, Carport and pergola builder, Fence contractor, Iron works, Metal fabricator, Roofing contractor, Stair contractor, Steel construction company, Steel fabricator, Welding supply store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 93982 41472,http://asfabricationwork.com/,4.9,420.0,"CC32+52G, Manikonda Rd, Sathya Colony, Shaikpet, Hyderabad, Telangana 500104","Sathya Colony, Shaikpet",17.4032916,78.39987289999999,ChIJWQ2gNr-XyzsRaJ0NPeZVQds,https://www.google.com/maps/place/?q=place_id:ChIJWQ2gNr-XyzsRaJ0NPeZVQds,part_339,2026-09-20 20:18:02
"Globe Fabrication work, Stainless Steel & iron | Truss | Railing | Grills | Gate | wilding work",Steel Fabrication Workshop,Shed builder,"Shed builder, Fabrication Engineer, Metal construction company, Metal fabricator, Metal workshop, Roofing contractor, Roofing supply store, Sheltered housing, Steel fabricator, Truss manufacturer",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 98444 78900,http://globefabricationwork.com/,4.9,344.0,"Basappa Reddy Garden, Kanakanagar Post, 17, J. P. Nagar, Bengaluru, Karnataka 560111","Fayazabad, Kanka Nagar, J. P. Nagar",12.9044001,77.5682325,ChIJ0Rxs4y0VrjsRhf2EOC_DL70,https://www.google.com/maps/place/?q=place_id:ChIJ0Rxs4y0VrjsRhf2EOC_DL70,part_339,2026-09-20 20:18:02
S.k.Fabrication & Engg Works,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,https://skfabrication-engg-works.business.site/?utm_source=gmb&utm_medium=referral,4.9,182.0,"New Wakad - Hinjawadi Link Rd, near Kasturi resort, Bhatewara Nagar, Hinjawadi, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Bhatewara Nagar, Hinjawadi, Wakad",18.598088,73.74578369999999,ChIJPyboHxu7wjsR3DsDoV3-9oA,https://www.google.com/maps/place/?q=place_id:ChIJPyboHxu7wjsR3DsDoV3-9oA,part_339,2026-09-20 20:18:02
SA fabrication welding works,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Fabrication Engineer, Iron works, Metal supplier, Metal workshop, Welder, Welding supply store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 90525 30347,N/A,4.6,53.0,"babu khan line rajeev nagar, Shilpa Layout Rd, opposite danish heights, Shilpa layot, Gachibowli, Hyderabad, Telangana 500032","Shilpa layot, Gachibowli",17.440323499999998,78.36675989999999,ChIJm961uMOTyzsRQCDUfFlRFis,https://www.google.com/maps/place/?q=place_id:ChIJm961uMOTyzsRQCDUfFlRFis,part_339,2026-09-20 20:18:02
AS Fabrication Welding Works,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Fabrication Engineer, Fence contractor, Iron works, Roofing contractor, Stair contractor, Steel construction company, Steel fabricator, Welder",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,https://asfabricationworks.in/,4.9,197.0,"Boduppal Colony Rd, Shop, Street No. 2, Jyothi Nagar Colony, Boduppal, Hyderabad, Telangana 500092","Sai Bhavani Nagar, Jyothi Nagar Colony, Boduppal",17.4196682,78.5764137,ChIJTYpBjBaXyzsR-AtzC_F0K9c,https://www.google.com/maps/place/?q=place_id:ChIJTYpBjBaXyzsR-AtzC_F0K9c,part_339,2026-09-20 20:18:02
AS Fabrication - Truss | Railings | Grill | Metal Steel Works in Bangalore,Steel Fabrication Workshop,Fabrication Engineer,"Fabrication Engineer, Metal fabricator, Metal workshop, Sheet metal contractor, Steel fabricator, Truss manufacturer",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 99014 81543,https://metalfabricationbangalore.in/,4.9,94.0,"148/A, Outer Ring Rd, opp. girias showroom, sarakki signal, Ilyas Nagar, J. P. Nagar, Bengaluru, Karnataka 560111","sarakki signal, Ilyas Nagar, J. P. Nagar",12.9069491,77.5720888,ChIJweHY3R0VrjsRQckaCeNfDgI,https://www.google.com/maps/place/?q=place_id:ChIJweHY3R0VrjsRQckaCeNfDgI,part_339,2026-09-20 20:18:02
Mahesh Steel Works,Steel Fabrication Workshop,Steel fabricator,"Steel fabricator, Steel distributor",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 80 4805 5045,http://maheshsteel.in/,4.2,10.0,"Zone B, 179/A, near Blue Wheel Hospital, Block C, Sector A, Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010","Block C, Sector A, Mancheswar Industrial Estate",20.309175,85.8530734,ChIJVVVVVRgKGToRqZwnTp9TBNU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVRgKGToRqZwnTp9TBNU,part_339,2026-09-20 20:18:02
SI FABRICATION - Metal Steel Fabricators in Bangalore,Steel Fabrication Workshop,Fabrication Engineer,"Fabrication Engineer, Metal fabricator, Shed builder, Steel fabricator, Truss manufacturer",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 99003 62177,https://sifabrication.in/,4.9,77.0,"15, Y.V. ANNAIAH ROAD, POST, near VENKATESHWARA TEMPLE, Yelachenahalli, J. P. Nagar, Bengaluru, Karnataka 560111","Jarganahalli, Yelachenahalli, J. P. Nagar",12.8990001,77.5698233,ChIJaX3MjE8VrjsROfdK0mtmikM,https://www.google.com/maps/place/?q=place_id:ChIJaX3MjE8VrjsROfdK0mtmikM,part_339,2026-09-20 20:18:02
INDIA FABRICATION WORKS,Steel Fabrication Workshop,Welder,"Welder, Metal fabricator",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 80878 38647,https://india-fabrication-works.grexa.site/,4.8,19.0,"Shop no, parvati complex, 10, Mhetre Wadi, Hanuman Nagar, Chikhali, Pimpri-Chinchwad, Maharashtra 411062","Mhetre Wadi, Hanuman Nagar, Chikhali",18.6746578,73.7930025,ChIJmdbTvDe3wjsR8szl9ISJYQo,https://www.google.com/maps/place/?q=place_id:ChIJmdbTvDe3wjsR8szl9ISJYQo,part_339,2026-09-20 20:18:02
"AB Fabrication. Metal, SS & MS Steel, Fabrication work",Steel Fabrication Workshop,Fabrication Engineer,"Fabrication Engineer, Steel fabricator, Welding supply store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 80885 16814,https://ab-fabrication-metal-ss.grexa.site/,4.8,27.0,"59/G, 4th Main Rd, Fayazabad, Kanka Nagar, Kumaraswamy Layout, Bengaluru, Karnataka 560111","Fayazabad, Kanka Nagar, Kumaraswamy Layout",12.903670799999999,77.5676141,ChIJe05lJtcVrjsRX1HgIdVx5-c,https://www.google.com/maps/place/?q=place_id:ChIJe05lJtcVrjsRX1HgIdVx5-c,part_339,2026-09-20 20:18:02
JR Metal Fabricators,Steel Fabrication Workshop,Iron works,Iron works,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 96630 19411,https://www.instagram.com/jr_metal_fabricators?igsh=MTR1ODN6ZDlteGdkZg%3D%3D&utm_source=qr,4.2,16.0,"Maheswari Nagar, Mahadevapura, Bengaluru, Karnataka 560048","Maheswari Nagar, Mahadevapura",12.9938323,77.6912897,ChIJt3sX20kRrjsR_7yotAzTIDI,https://www.google.com/maps/place/?q=place_id:ChIJt3sX20kRrjsR_7yotAzTIDI,part_339,2026-09-20 20:18:02
S.K. Fabrication & Engineering Work,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 81780 35807,N/A,4.6,71.0,"cross, Konadasapura, Budigere, Bengaluru, Karnataka 560049",Konadasapura,13.045295999999999,77.7548128,ChIJN0JfskoRrjsRHzCosaOCSvA,https://www.google.com/maps/place/?q=place_id:ChIJN0JfskoRrjsRHzCosaOCSvA,part_339,2026-09-20 20:18:02
SS Welding & Engineering Works,Steel Fabrication Workshop,Industrial consultant,"Industrial consultant, Aluminium Supplier, Aluminum welder, Aluminum window, Bar & grill, Fabrication Engineer, Kitchen remodeler, Modular home builder, Welding gas supplier, Welding supply store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 89787 00917,N/A,4.8,74.0,"Pillar Number 108, 6/826/48, 13-6-826/48,Ringroad Attapure, 13/6/826/48, Moghal Nagar, Karwan West, Hyderabad, Telangana 500006","Moghal Nagar, Karwan West, Karwan",17.375219899999998,78.4295934,ChIJcxUV01SWyzsR2-CZG4TfA0M,https://www.google.com/maps/place/?q=place_id:ChIJcxUV01SWyzsR2-CZG4TfA0M,part_339,2026-09-20 20:18:02
Indian Fabrication & Engineering Works,Steel Fabrication Workshop,Welder,Welder,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 95331 48583,N/A,4.9,15.0,"3rd Bus Stop, near Sai Residency, Chaitanyapuri Colony, Phanigiri Colony, Dilsukhnagar, Hyderabad, Telangana 500060","Chaitanyapuri Colony, Phanigiri Colony, Dilsukhnagar",17.374378,78.5372264,ChIJq6qq6uaYyzsRNn7KNQSG4OI,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6uaYyzsRNn7KNQSG4OI,part_339,2026-09-20 20:18:02
Rajendra Fabrication & Engineering Works,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Grill, Engineering consultant, Fabric product manufacturer, Fabrication Engineer, Iron & Steel Store, Rolled metal products supplier, Steel fabricator, Welder, Welding supply store",752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",+91 89287 79465,https://www.rajendrafabrication.in/,4.6,9.0,"Vrundavan Nagar Road, Plot No.60, near Military Camp, Darshan Colony, Nandanvan, Nagpur, Maharashtra 440024","Darshan Colony, Nandanvan",21.1346836,79.1295547,ChIJL59hChy51DsR9RyWS1YhxyY,https://www.google.com/maps/place/?q=place_id:ChIJL59hChy51DsR9RyWS1YhxyY,part_339,2026-09-20 20:18:02
AHARAR IRON & STEEL WORKS,Steel Fabrication Workshop,Metal fabricator,Metal fabricator,752114,Odisha Circle,Bhubaneswar HQ Region,Puri Division,"Rench, Biswalpada, Dakhinradas",N/A,N/A,5.0,39.0,"Halim chowk, opposite of Kidzee school, Kishanganj, Bihar 855107",752114,26.089779699999998,87.93108409999999,ChIJJybp5iYV5TkREt2o5baKIt4,https://www.google.com/maps/place/?q=place_id:ChIJJybp5iYV5TkREt2o5baKIt4,part_339,2026-09-20 20:18:03
