business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HAIRSTYLE FAMILY SALON,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 62907 30835,https://g.co/kgs/QRrBKAo,4.9,141.0,"Madanpur Station Rd, Purbapara, Madanpur, West Bengal 741245",Purbapara,23.0065557,88.4932243,ChIJ6xlNl7nB-DkRjm7l_NBIEbo,https://www.google.com/maps/place/?q=place_id:ChIJ6xlNl7nB-DkRjm7l_NBIEbo,part_332,2026-09-20 20:17:52
The Looks Family Salon,Salon,Hairdresser,Hairdresser,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 96412 07001,N/A,4.7,25.0,"Rath tala Rd, near basanta kumari, Kalitala, balika vidyapith, Chakdaha, West Bengal 741222",Kalitala,23.0994439,88.4744206,ChIJRynn5Ljp-DkRqvr0gf2HeVA,https://www.google.com/maps/place/?q=place_id:ChIJRynn5Ljp-DkRqvr0gf2HeVA,part_332,2026-09-20 20:17:52
Rinku’z Family Salon,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,5.0,1.0,"Near, AIIMS Kalyani Rd, Basantapur, West Bengal 741246",741246,22.9696267,88.5211759,ChIJB0GVfAC_-DkRVye-9ZmgZDs,https://www.google.com/maps/place/?q=place_id:ChIJB0GVfAC_-DkRVye-9ZmgZDs,part_332,2026-09-20 20:17:52
Akansha Salon,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 80131 93802,https://www.facebook.com/share/1BzG85E5Uz/,,,"Rina Rd, Balindi, West Bengal 741246",741246,22.9674504,88.5366607,ChIJ-bXvMXe_-DkR4PtzIRJ_KG0,https://www.google.com/maps/place/?q=place_id:ChIJ-bXvMXe_-DkR4PtzIRJ_KG0,part_332,2026-09-20 20:17:52
Ratan Salon,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,5.0,1.0,"WGQ8+4QF, Kanchrapara - Haringhata Rd, Hatikanda, Mohanpur, West Bengal 741246",Hatikanda,22.937817799999998,88.5169359,ChIJ-RtqJ1i_-DkRf6Ci7uKqd50,https://www.google.com/maps/place/?q=place_id:ChIJ-RtqJ1i_-DkRf6Ci7uKqd50,part_332,2026-09-20 20:17:52
LOOK CHANGE FAMILY SALOON,Salon,Hair salon,Hair salon,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 62908 70770,N/A,5.0,4.0,"LOOK CHANGE FAMILY SALON, More, near Petrol Pump, To, Haringhata, Barajaguli, West Bengal 741221",To,22.9461668,88.5450563,ChIJrz5OZdi--DkR04bAyE3hd6g,https://www.google.com/maps/place/?q=place_id:ChIJrz5OZdi--DkR04bAyE3hd6g,part_332,2026-09-20 20:17:52
ABIR MEN SALON,Salon,Hair salon,Hair salon,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91635 93308,N/A,5.0,1.0,"Mondouri Bus Stop, Kampa - Barajaguli Flyover, near Familia School, Bhaluka, West Bengal 741246",741246,22.935309099999998,88.50838329999999,ChIJLw1LN9u_-DkRLOkUR79Bo34,https://www.google.com/maps/place/?q=place_id:ChIJLw1LN9u_-DkRLOkUR79Bo34,part_332,2026-09-20 20:17:52
Bhoomi Family salon,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 92428 40420,http://www.bhoomifamilysalon.com/,4.6,20.0,"BHOOMI FAMILY SALON, Mayapur, Taranpur, West Bengal 741313",741246,23.4255067,88.403005,ChIJw4frDgAf-TkRoKX3MvEsvOM,https://www.google.com/maps/place/?q=place_id:ChIJw4frDgAf-TkRoKX3MvEsvOM,part_332,2026-09-20 20:17:52
Rupasha Beauty Salon & spa,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 80167 98862,https://www.facebook.com/share/1E9bgJNDoi/,5.0,12.0,"WGRR+VV8, Gopal Rd, Barajaguli, Dighapara, West Bengal 741221",741246,22.9421636,88.54220149999999,ChIJieTSPLe_-DkR8N_8F1XOIzs,https://www.google.com/maps/place/?q=place_id:ChIJieTSPLe_-DkR8N_8F1XOIzs,part_332,2026-09-20 20:17:52
Hair Studio,Salon,Hair salon,Hair salon,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,3.8,9.0,"7 No IISER, gate more, opposite IISER Gate, Kalyani, Haringhata Farm, West Bengal 741246",741246,22.9680793,88.530839,ChIJj2ecvHi_-DkRdaA0te61zkM,https://www.google.com/maps/place/?q=place_id:ChIJj2ecvHi_-DkRdaA0te61zkM,part_332,2026-09-20 20:17:52
PRIYA LADIES BEAUTY PARLOUR,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97338 44488,N/A,4.7,45.0,"Unnamed Road, Barajaguli, Dighapara, West Bengal 741221",741246,22.9419868,88.5432793,ChIJExPZ0PS_-DkRhkhIgDTpXeY,https://www.google.com/maps/place/?q=place_id:ChIJExPZ0PS_-DkRhkhIgDTpXeY,part_332,2026-09-20 20:17:52
Nabo'z Beauticians,Salon,Beauty Parlour,Beauty Parlour,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 74391 89737,N/A,5.0,2.0,"9/99, Gayeshpur Road, Kolkata, Gayeshpur, West Bengal 741234",741246,22.967729,88.4985682,ChIJHSlZBwC_-DkRNF0tuLf2Jw8,https://www.google.com/maps/place/?q=place_id:ChIJHSlZBwC_-DkRNF0tuLf2Jw8,part_332,2026-09-20 20:17:52
