business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gitanjali Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 79080 26067,N/A,4.6,20.0,"Payradanga Main Rd, near Amra Sobai Club, Payradanga, West Bengal 741247",741246,23.1304628,88.554749,ChIJwyBAR3LD-DkR6smE1o1-lHw,https://www.google.com/maps/place/?q=place_id:ChIJwyBAR3LD-DkR6smE1o1-lHw,part_332,2026-09-20 20:17:39
Samriddha Pharmacy,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98310 39066,N/A,2.0,4.0,"Sangam cinema Hall building, Block A, Kalyani, West Bengal 741235",Block A,22.966811999999997,88.466934,ChIJydgOtwSV-DkRSwrZQpHWlmA,https://www.google.com/maps/place/?q=place_id:ChIJydgOtwSV-DkRSwrZQpHWlmA,part_332,2026-09-20 20:17:39
MA SANTOSHI PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 62891 83066,N/A,4.5,10.0,"Gokulpur Kataganj, Road, near New Jagarony Shangha, Gokulpur, Kalyani, West Bengal 741250",Gokulpur,22.9459181,88.463909,ChIJM9CnBJ6V-DkR4WumCuOLynY,https://www.google.com/maps/place/?q=place_id:ChIJM9CnBJ6V-DkR4WumCuOLynY,part_332,2026-09-20 20:17:39
Swapna Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,4.3,3.0,"XF88+PRM, Unnamed Road, Block A, Kalyani, West Bengal 741235",Block A,22.966829,88.46705519999999,ChIJlYENmWyV-DkRp4js7JVeYYo,https://www.google.com/maps/place/?q=place_id:ChIJlYENmWyV-DkRp4js7JVeYYo,part_332,2026-09-20 20:17:39
Dawaa Dost - Payradanga Railway Station,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91472 46247,https://www.dawaadost.com/,5.0,1.0,"Ground Floor, 4GHX+W3C, Payradanga Main Rd, Payradanga, West Bengal 741247",741246,23.129797999999997,88.5476463,ChIJ30bIlTfD-DkRPlCvvlzuEm8,https://www.google.com/maps/place/?q=place_id:ChIJ30bIlTfD-DkRPlCvvlzuEm8,part_332,2026-09-20 20:17:39
Adrija Medicare,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 33 2582 0086,N/A,3.0,2.0,"XF87+PWF, Kalyani Station Rd, A 9X, Block A9, Block A, Kalyani, West Bengal 741235","A 9X, Block A9, Block A",22.966816299999998,88.4648028,ChIJ1TlNB8mV-DkRXfA1QyZrsnU,https://www.google.com/maps/place/?q=place_id:ChIJ1TlNB8mV-DkRXfA1QyZrsnU,part_332,2026-09-20 20:17:39
Life Line Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,5.0,1.0,"WC86+HXW, MC Mitra Rd, Bischpur, Halisahar, Kolkata, West Bengal 743135","Bischpur, Halisahar",22.916481899999997,88.4124451,ChIJH3RXCwCV-DkRh4aYT7NnCuE,https://www.google.com/maps/place/?q=place_id:ChIJH3RXCwCV-DkRh4aYT7NnCuE,part_332,2026-09-20 20:17:39
SHANTI PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 90835 78372,N/A,5.0,1.0,"Bhagirathi Rd, near Jhawtala More, 2 No Durganagar, Palpara, Chakdaha, West Bengal 741222","2 No Durganagar, Palpara",23.0758784,88.52339429999999,ChIJw17QxnDB-DkRpvsoxy2kcYE,https://www.google.com/maps/place/?q=place_id:ChIJw17QxnDB-DkRpvsoxy2kcYE,part_332,2026-09-20 20:17:39
ASHIRBAD MEDICAL STORES,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97492 79872,N/A,4.8,4.0,"5H7P+59G, Cooper's Camp NA and OG Part, Ranaghat, West Bengal 741232",741246,23.162934,88.5859456,ChIJ5y1SQt3E-DkR0AFMAVhumzo,https://www.google.com/maps/place/?q=place_id:ChIJ5y1SQt3E-DkR0AFMAVhumzo,part_332,2026-09-20 20:17:39
Clinica Pharmacy Chakdah,24 Hour Pharmacy,Pharmacy,"Pharmacy, Medical billing service, Medical supply store, Pharmaceutical Products Wholesaler",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,,,"Basu & Jharna Dey, Rice Godown of Kaberi, Chakdaha, Jaykrishnapur P, West Bengal 741222",741246,23.0734082,88.54104749999999,ChIJf2NVskfB-DkRxeCuNPwm99o,https://www.google.com/maps/place/?q=place_id:ChIJf2NVskfB-DkRxeCuNPwm99o,part_332,2026-09-20 20:17:39
Bhowmick Medical house,24 Hour Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,3.0,2.0,"4GXH+PQP, Briddhakol, West Bengal 741255",741246,23.1493806,88.5294692,ChIJddPxPSbD-DkR0gwXPt4dhtg,https://www.google.com/maps/place/?q=place_id:ChIJddPxPSbD-DkR0gwXPt4dhtg,part_332,2026-09-20 20:17:39
