business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New Bike Gallery Simurali,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98328 75096,N/A,4.9,,"Sukh Sagar road, Simurali, Chakdaha, West Bengal 741248",741246,23.041779,88.51044499999999,ChIJi7BMG-fB-DkRIiJj5zPuOmg,https://www.google.com/maps/place/?q=place_id:ChIJi7BMG-fB-DkRIiJj5zPuOmg,part_332,2026-09-20 20:17:44
Bike point,Two Wheeler Showroom and Dealer,Used motorcycle dealer,Used motorcycle dealer,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 93780 39992,N/A,3.5,,"Lalpur, Chakdaha, West Bengal 741222",Lalpur,23.0805646,88.5390678,ChIJDeyTt_7B-DkR29Z6IjFg4qI,https://www.google.com/maps/place/?q=place_id:ChIJDeyTt_7B-DkR29Z6IjFg4qI,part_332,2026-09-20 20:17:44
Hira Enterprise TVS (2 wheeler & EV) - Lalpur,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 80 6290 6905,https://showroom.tvsmotor.com/locator/nadia/Chakdaha/hira-enterprise-tvs-in-Chakdaha-nadia--6KgByD/home,4.3,,"Chakdaha Bonogram Rd, nearby M Baazar, Lalpur, Chakdaha, West Bengal 741222",Lalpur,23.0805461,88.538927,ChIJj79LCV3B-DkRkMSmEvLhb8c,https://www.google.com/maps/place/?q=place_id:ChIJj79LCV3B-DkRkMSmEvLhb8c,part_332,2026-09-20 20:17:44
Royal Enfield Showroom - V.M. Automobile,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91677 02366,https://dealers.royalenfield.com/west-bengal/nadia/chakdah-vm-automobile-9110108630?utm_source=GMBlisting&utm_medium=organic,4.7,,"Ground Floor, NH 12, Purbalalpur, Chakdaha, Chhatimtala, West Bengal 741222",Purbalalpur,23.0792674,88.5440718,ChIJXcIsqZPB-DkRhFr8iFGoOmI,https://www.google.com/maps/place/?q=place_id:ChIJXcIsqZPB-DkRhFr8iFGoOmI,part_332,2026-09-20 20:17:44
Lokenath Automobiles (Bajaj),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97340 79217,http://www.bajajauto.com/,3.3,,"3GJP+4QM, Lalpur, Chakdaha, West Bengal 741222",Lalpur,23.080331599999997,88.5369145,ChIJASvkhmfB-DkRWxYqYKkHgtc,https://www.google.com/maps/place/?q=place_id:ChIJASvkhmfB-DkRWxYqYKkHgtc,part_332,2026-09-20 20:17:44
Sanaya motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 62941 04831,N/A,4.1,,"Bhagirathi Rd, 2 No Durganagar, Palpara, Chakdaha, West Bengal 741222","2 No Durganagar, Palpara",23.0757185,88.5219554,ChIJvYmvCBHB-DkRnHXB4zItUaY,https://www.google.com/maps/place/?q=place_id:ChIJvYmvCBHB-DkRnHXB4zItUaY,part_332,2026-09-20 20:17:44
S.S Bike Point,Two Wheeler Showroom and Dealer,Used motorcycle dealer,"Used motorcycle dealer, Used car dealer",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,5.0,,"pachim para, Chakdaha - Bongaon Rd, Balia, West Bengal 741223",741246,23.0804165,88.67049209999999,ChIJpfVcY7zJ-DkRjgQOzAtYcZc,https://www.google.com/maps/place/?q=place_id:ChIJpfVcY7zJ-DkRjgQOzAtYcZc,part_332,2026-09-20 20:17:44
R.R Motors,Two Wheeler Showroom and Dealer,Used motorcycle dealer,Used motorcycle dealer,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 82407 56323,https://www.facebook.com/r.rmotors2017/,4.3,,"Buddha Park, BUDDHA PARK 🚦 BUDDHA PARK 🚦 (SP OFFICE OPPOSITE SIDE KALYANI BUDDHA PARK 🚦, Barrackpore - Kalyani Expy, near SP OFFICE, opposite SIDE, 🚦, Kalyani, West Bengal 741235","B 14, Block B, 🚦",22.9644637,88.4288584,ChIJHarbBOeV-DkRmc2ogYJf3PE,https://www.google.com/maps/place/?q=place_id:ChIJHarbBOeV-DkRmc2ogYJf3PE,part_332,2026-09-20 20:17:44
Royal Enfield Showroom - V.M Automobile,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91671 16343,https://dealers.royalenfield.com/west-bengal/nadia/barajaguli-haringhata-v-m-automobile-9113009140?utm_source=GMBlisting&utm_medium=organic,4.8,,"Barajaguli, Haringhata, West Bengal 741249",741246,22.9471441,88.5471226,ChIJ5QHXkha_-DkROdIHbhwyiKs,https://www.google.com/maps/place/?q=place_id:ChIJ5QHXkha_-DkROdIHbhwyiKs,part_332,2026-09-20 20:17:44
Biswas Motors,Two Wheeler Showroom and Dealer,Motor vehicle dealer,Motor vehicle dealer,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 86172 76589,https://youtube.com/@avishekbiswas932,4.4,,"Buddha Park, GP ROAD, more GP ROAD, Rathtala, Kalyani, West Bengal 741235","Block B, Rathtala",22.9623982,88.4271832,ChIJ_dNeCVmV-DkRhsIMp9mfL8E,https://www.google.com/maps/place/?q=place_id:ChIJ_dNeCVmV-DkRhsIMp9mfL8E,part_332,2026-09-20 20:17:44
